bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
unselwe01,1968-69,22,BAL,NBA,82,36.2,.476,,.476,.476,.605,18.2,2.6,,,13.8,18.1,10.8,.175,,,All-NBA (1st)
unselwe01,1969-70,23,BAL,NBA,82,39.4,.518,,.518,.518,.638,16.7,3.5,,,16.2,17.8,11.1,.164,,,
unselwe01,1970-71,24,BAL,NBA,74,39.2,.501,,.501,.501,.657,16.9,4.0,,,14.1,17.9,10.0,.166,,,
unselwe01,1971-72,25,BAL,NBA,76,41.7,.498,,.498,.498,.629,17.6,3.7,,,13.0,16.7,8.3,.125,,,
unselwe01,1972-73,26,BAL,NBA,79,39.1,.493,,.493,.493,.703,15.9,4.4,,,12.5,18.1,10.7,.166,,,
unselwe01,1973-74,27,CAP,NBA,56,30.8,.438,,.438,.438,.655,9.2,2.8,1.0,0.3,5.9,11.1,3.6,.100,1.0,1.3,
unselwe01,1974-75,28,WSB,NBA,73,39.8,.502,,.502,.502,.685,14.8,4.1,1.6,0.9,9.2,15.0,10.6,.175,5.5,5.5,
unselwe01,1975-76,29,WSB,NBA,78,37.5,.561,,.561,.561,.585,13.3,5.2,1.1,0.8,9.6,16.2,9.5,.156,5.7,5.6,
unselwe01,1976-77,30,WSB,NBA,82,34.9,.490,,.490,.490,.602,10.7,4.4,1.1,0.5,7.8,12.8,6.2,.103,3.3,3.9,
unselwe01,1977-78,31,WSB,NBA,80,33.1,.523,,.523,.523,.538,11.9,4.1,1.2,0.6,7.6,14.4,6.8,.123,4.3,4.2,
unselwe01,1978-79,32,WSB,NBA,77,31.2,.577,,.577,.577,.643,10.8,4.1,0.9,0.5,10.9,17.8,8.7,.174,5.7,4.7,
unselwe01,1979-80,33,WSB,NBA,82,36.3,.513,.500,.513,.514,.665,13.3,4.5,0.8,0.7,9.7,15.4,8.4,.135,4.4,4.8,
unselwe01,1980-81,34,WSB,NBA,63,32.3,.524,.500,.525,.527,.640,10.7,2.7,0.8,0.6,8.0,13.5,5.5,.130,3.6,2.9,
