bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
smithke01,1987-88,22,SAC,NBA,61,35.6,.477,.308,.487,.486,.819,2.3,7.1,1.5,0.1,13.8,13.3,2.2,.049,-2.3,-0.2
smithke01,1988-89,23,SAC,NBA,81,38.8,.462,.359,.475,.482,.737,2.8,7.7,1.3,0.1,17.3,14.3,4.1,.062,-1.7,0.2
smithke01,1989-90,24,"SAC,ATL",NBA,79,30.6,.466,.313,.484,.482,.821,2.0,5.6,1.0,0.1,11.9,13.3,2.6,.052,-2.9,-0.5
smithke01,1990-91,25,HOU,NBA,78,34.6,.520,.363,.545,.545,.844,2.1,7.1,1.4,0.1,17.7,18.3,9.0,.161,0.7,1.9
smithke01,1991-92,26,HOU,NBA,81,33.8,.475,.394,.489,.504,.866,2.2,6.9,1.3,0.1,14.0,15.0,5.1,.089,-1.8,0.1
smithke01,1992-93,27,HOU,NBA,82,29.5,.520,.438,.554,.585,.878,2.0,5.4,1.0,0.1,13.0,17.1,8.2,.162,0.6,1.6
smithke01,1993-94,28,HOU,NBA,78,28.3,.480,.405,.513,.542,.871,1.8,4.2,0.8,0.1,11.6,14.2,6.1,.132,-0.9,0.6
smithke01,1994-95,29,HOU,NBA,81,25.1,.484,.429,.553,.604,.851,1.9,4.0,0.9,0.1,10.4,16.2,6.1,.144,0.6,1.4
smithke01,1995-96,30,HOU,NBA,68,23.8,.433,.382,.487,.531,.821,1.4,3.6,0.7,0.0,8.5,12.5,2.9,.085,-2.7,-0.3
smithke01,1996-97,31,"DET,ORL,DEN",NBA,48,15.9,.423,.437,.404,.546,.867,0.9,2.4,0.4,0.0,6.3,12.3,0.6,.039,-4.5,-0.5
