name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Marvin Barnes,/players/b/barnema01.html,1975,1980,Providence College,false,"Central in Providence, Rhode Island",-0.79,0.95,barnema01,1976-77,DET,15.0,1.3,.063,-3.2,-0.3,,24,NBA,53,18.7,.447,.679,4.8,0.8,0.7,0.6,9.6,DET
Marvin Barnes,/players/b/barnema01.html,1975,1980,Providence College,false,"Central in Providence, Rhode Island",-0.27,2.21,barnema01,1977-78,TOT,13.9,2.0,.060,-0.2,0.7,,25,NBA,60,27.4,.422,.703,7.3,2.3,1.1,1.4,11.4,"DET,BUF"
Marvin Barnes,/players/b/barnema01.html,1975,1980,Providence College,false,"Central in Providence, Rhode Island",-0.38,1.01,barnema01,1978-79,BOS,12.3,1.0,.060,-0.7,0.3,,26,NBA,38,20.9,.491,.652,4.7,1.4,1.0,1.0,8.1,BOS
Marvin Barnes,/players/b/barnema01.html,1975,1980,Providence College,false,"Central in Providence, Rhode Island",-1.33,0.18,barnema01,1979-80,SDC,8.2,0.1,.019,-3.1,-0.1,,27,NBA,20,14.4,.400,.500,3.9,0.9,0.3,0.6,3.2,SDC
