bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
brownfr01,1971-72,23,SEA,NBA,33,10.9,.328,,.328,.328,.759,1.1,1.8,,,4.2,8.5,-0.9,-0.115,,
brownfr01,1972-73,24,SEA,NBA,79,29.4,.455,,.455,.455,.818,4.0,5.5,,,13.5,16.0,2.8,.057,,
brownfr01,1973-74,25,SEA,NBA,82,30.5,.471,,.471,.471,.863,4.9,5.0,1.7,0.2,16.5,17.9,6.4,.123,3.3,3.3
brownfr01,1974-75,26,SEA,NBA,81,33.0,.480,,.480,.480,.831,4.2,3.5,2.3,0.2,21.0,19.8,7.9,.142,3.4,3.6
brownfr01,1975-76,27,SEA,NBA,76,33.1,.488,,.488,.488,.869,4.2,2.7,1.9,0.2,23.1,20.4,8.8,.167,2.2,2.7
brownfr01,1976-77,28,SEA,NBA,72,29.1,.479,,.479,.479,.884,3.2,2.4,1.7,0.3,17.2,17.4,6.1,.140,0.8,1.5
brownfr01,1977-78,29,SEA,NBA,72,27.3,.488,,.488,.488,.898,2.6,3.3,1.5,0.3,16.6,19.6,6.7,.163,1.9,1.9
brownfr01,1978-79,30,SEA,NBA,77,25.5,.469,,.469,.469,.888,2.2,3.4,1.5,0.3,14.0,16.9,5.2,.127,0.3,1.2
brownfr01,1979-80,31,SEA,NBA,80,21.3,.479,.443,.483,.502,.837,1.9,2.2,0.8,0.2,12.0,16.4,4.9,.138,-0.7,0.6
brownfr01,1980-81,32,SEA,NBA,78,25.5,.488,.359,.496,.499,.832,2.2,3.0,1.1,0.2,15.5,18.3,5.2,.127,0.5,1.2
brownfr01,1981-82,33,SEA,NBA,82,21.8,.455,.325,.468,.470,.860,1.7,2.9,0.8,0.0,11.2,15.2,3.9,.104,-1.5,0.2
brownfr01,1982-83,34,SEA,NBA,80,17.9,.520,.438,.523,.529,.806,1.2,3.0,0.7,0.2,10.2,17.7,3.6,.120,-0.9,0.4
brownfr01,1983-84,35,SEA,NBA,71,15.9,.510,.265,.528,.519,.895,0.9,2.7,0.7,0.0,8.5,17.1,2.6,.111,-2.0,0.0
