bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
hawesst01,1974-75,24,HOU,NBA,55,16.3,.502,,.502,.502,.818,5.0,1.6,0.7,0.7,5.9,16.7,2.5,.132,1.6,0.8,
hawesst01,1975-76,25,"HOU,POR",NBA,72,19.6,.494,,.494,.494,.725,6.9,1.6,0.6,0.3,6.7,15.1,3.4,.117,0.4,0.8,
hawesst01,1976-77,26,ATL,NBA,44,21.5,.482,,.482,.482,.761,5.9,1.4,0.8,0.5,8.2,14.2,1.9,.095,0.2,0.5,
hawesst01,1977-78,27,ATL,NBA,75,31.0,.453,,.453,.453,.818,9.2,2.5,1.0,0.8,12.7,16.1,6.1,.127,1.6,2.1,
hawesst01,1978-79,28,ATL,NBA,81,27.2,.492,,.492,.492,.818,7.3,2.3,1.0,0.6,10.5,15.0,5.4,.118,2.1,2.3,
hawesst01,1979-80,29,ATL,NBA,82,22.6,.502,.375,.504,.505,.824,6.0,1.8,0.9,0.4,9.3,16.2,6.0,.155,2.4,2.1,
hawesst01,1980-81,30,ATL,NBA,74,31.2,.523,.250,.524,.524,.799,7.6,2.3,1.0,0.4,12.0,14.7,5.7,.119,1.6,2.1,
hawesst01,1981-82,31,ATL,NBA,49,26.9,.481,.400,.483,.486,.762,6.5,2.9,0.7,0.7,9.3,14.5,3.2,.118,2.2,1.4,
hawesst01,1982-83,32,"ATL,SEA",NBA,77,18.4,.418,.238,.428,.424,.734,4.7,1.2,0.5,0.2,5.2,8.6,1.0,.035,-3.1,-0.4,
hawesst01,1983-84,33,SEA,NBA,79,14.6,.481,.250,.485,.483,.782,2.8,1.3,0.3,0.2,3.7,9.5,1.8,.074,-2.0,0.0,
