bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
foxji01,1967-68,24,"CIN,DET",NBA,55,11.3,.410,,.410,.410,.611,4.2,0.5,,,3.6,11.4,0.6,.046,,
foxji01,1968-69,25,"DET,PHO",NBA,76,31.0,.470,,.470,.470,.715,10.8,2.2,,,10.9,13.9,3.9,.079,,
foxji01,1969-70,26,PHO,NBA,81,25.2,.524,,.524,.524,.770,7.0,1.1,,,12.9,15.6,5.6,.133,,
foxji01,1970-71,27,CHI,NBA,82,19.9,.458,,.458,.458,.745,7.3,2.4,,,9.7,19.5,6.1,.181,,
foxji01,1971-72,28,"CHI,CIN",NBA,81,26.9,.449,,.449,.449,.764,8.8,1.1,,,11.5,14.4,3.4,.075,,
foxji01,1972-73,29,SEA,NBA,74,33.0,.515,,.515,.515,.808,11.2,2.4,,,11.4,16.0,6.4,.126,,
foxji01,1973-74,30,SEA,NBA,78,27.9,.478,,.478,.478,.823,9.2,2.9,0.7,0.3,11.3,16.3,6.6,.146,2.3,2.4
foxji01,1974-75,31,SEA,NBA,75,23.5,.469,,.469,.469,.802,6.5,1.8,0.6,0.2,9.0,14.7,4.6,.124,-0.4,0.7
foxji01,1975-76,32,MIL,NBA,70,13.1,.517,,.517,.517,.785,3.4,0.6,0.4,0.2,3.9,12.4,2.2,.116,-1.3,0.2
foxji01,1976-77,33,NYN,NBA,71,16.4,.462,,.462,.462,.833,4.6,0.7,0.3,0.4,6.5,13.8,2.4,.097,-3.4,-0.4
