name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Paul Graham,/players/g/grahapa01.html,1992,1994,Ohio University,false,"Benjamin Franklin in Philadelphia, Pennsylvania",-0.09,2.54,grahapa01,1991-92,ATL,14.7,3.6,.100,0.5,1.1,,NBA,125000,24,78,22.0,.447,.741,3.0,2.2,1.2,0.3,10.1,ATL
Paul Graham,/players/g/grahapa01.html,1992,1994,Ohio University,false,"Benjamin Franklin in Philadelphia, Pennsylvania",-1.51,0.82,grahapa01,1992-93,ATL,12.7,1.9,.060,-1.1,0.4,,NBA,500000,25,80,18.9,.457,.733,2.4,2.1,1.1,0.1,8.1,ATL
Paul Graham,/players/g/grahapa01.html,1992,1994,Ohio University,false,"Benjamin Franklin in Philadelphia, Pennsylvania",-0.10,0.19,grahapa01,1993-94,ATL,13.1,0.2,.090,-3.7,-0.1,,NBA,600000,26,21,6.1,.368,.765,0.6,0.6,0.2,0.2,2.8,ATL
