bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
willina01,1971-72,21,CIN,NBA,81,26.8,.432,.738,4.6,2.1,,,11.9,11.2,0.4,.009,,,
willina01,1972-73,22,KCO,NBA,80,24.7,.477,.797,4.2,1.6,,,11.8,12.9,2.5,.060,,,
willina01,1973-74,23,KCO,NBA,82,30.6,.462,.818,4.2,2.2,1.8,0.4,15.5,15.5,4.0,.077,-0.1,1.2,
willina01,1974-75,24,"KCO,NOJ",NBA,85,22.9,.480,.823,4.0,1.7,1.1,0.4,13.3,17.5,4.5,.112,0.0,1.0,
willina01,1975-76,25,NOJ,NBA,81,23.9,.444,.824,4.4,1.3,1.3,0.2,12.8,15.9,4.3,.106,-0.6,0.7,
willina01,1976-77,26,NOJ,NBA,79,22.5,.451,.753,3.9,1.2,1.0,0.2,12.3,14.7,2.8,.077,-2.8,-0.4,
willina01,1977-78,27,"NOJ,GSW",NBA,73,17.1,.431,.835,2.8,1.0,0.8,0.5,9.9,14.8,1.9,.073,-3.2,-0.4,
willina01,1978-79,28,GSW,NBA,81,16.0,.501,.872,2.6,0.8,0.7,0.1,8.3,14.7,2.9,.107,-2.0,0.0,
