bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
thomala01,2011-12,23,NOH,NBA,42,15.0,.452,.000,.456,.452,.839,3.0,0.3,0.2,0.2,4.0,10.1,1.2,.088,-3.6,-0.3,
thomala01,2012-13,24,NOH,NBA,59,10.9,.500,,.500,.500,.729,1.9,0.3,0.2,0.1,2.5,10.1,1.2,.087,-2.7,-0.1,
thomala01,2013-14,25,NOP,NBA,5,8.4,.222,,.222,.222,.500,1.4,0.6,0.0,0.0,1.2,0.5,-0.1,-0.117,-10.7,-0.1,
thomala01,2014-15,26,"OKC,NYK",NBA,62,24.0,.412,.318,.417,.420,.727,3.1,1.1,0.6,0.1,7.1,8.0,-0.4,-0.014,-5.7,-1.4,
thomala01,2015-16,27,NYK,NBA,59,22.3,.442,.404,.458,.500,.857,2.2,0.9,0.4,0.1,8.2,10.4,1.7,.062,-3.2,-0.4,
thomala01,2016-17,28,NYK,NBA,46,21.0,.398,.447,.371,.475,.843,3.1,0.8,0.5,0.1,6.0,8.4,0.9,.046,-3.7,-0.4,
