bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
bradlbi01,1967-68,24,NYK,NBA,45,19.4,.416,,.416,.416,.731,2.5,3.0,,,8.0,11.7,1.1,.058,,
bradlbi01,1968-69,25,NYK,NBA,82,29.4,.429,,.429,.429,.814,4.3,3.7,,,12.4,13.1,4.7,.093,,
bradlbi01,1969-70,26,NYK,NBA,67,31.3,.460,,.460,.460,.824,3.6,4.0,,,14.5,13.7,4.9,.112,,
bradlbi01,1970-71,27,NYK,NBA,78,29.5,.453,,.453,.453,.823,3.3,3.6,,,12.4,13.3,5.4,.114,,
bradlbi01,1971-72,28,NYK,NBA,78,35.6,.465,,.465,.465,.849,3.2,4.0,,,15.1,12.9,5.4,.094,,
bradlbi01,1972-73,29,NYK,NBA,82,36.6,.459,,.459,.459,.871,3.7,4.5,,,16.1,13.8,7.0,.112,,
bradlbi01,1973-74,30,NYK,NBA,82,34.3,.451,,.451,.451,.874,3.1,3.0,0.5,0.3,14.0,11.1,4.2,.071,-2.2,-0.2
bradlbi01,1974-75,31,NYK,NBA,79,35.3,.436,,.436,.436,.873,3.2,3.1,0.9,0.2,13.3,11.1,2.8,.048,-2.2,-0.1
bradlbi01,1975-76,32,NYK,NBA,82,33.0,.433,,.433,.433,.878,2.9,3.0,0.8,0.2,11.1,10.2,2.5,.044,-2.1,-0.1
bradlbi01,1976-77,33,NYK,NBA,67,15.3,.464,,.464,.464,.810,1.5,1.9,0.4,0.1,4.3,9.5,0.8,.038,-3.6,-0.4
