bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,HS,Salary
sampsra01,1983-84,23,HOU,NBA,82,32.8,.523,.661,11.1,2.0,0.9,2.4,21.0,20.1,6.0,.108,1.4,2.3,,"Harrisonburg in Harrisonburg, Virginia",
sampsra01,1984-85,24,Houston Rockets,NBA,82,37.6,.502,.676,10.4,2.7,1.0,2.0,22.1,17.4,6.2,.096,0.8,2.1,All-NBA (2nd),"Harrisonburg in Harrisonburg, Virginia",1300000
sampsra01,1985-86,25,Houston Rockets,NBA,79,36.3,.488,.641,11.1,3.6,1.3,1.6,18.9,16.9,5.0,.084,1.5,2.5,,"Harrisonburg in Harrisonburg, Virginia",1165500
sampsra01,1986-87,26,HOU,NBA,43,30.8,.489,.624,8.7,2.8,0.9,1.3,15.6,15.4,2.2,.078,0.1,0.7,,"Harrisonburg in Harrisonburg, Virginia",
sampsra01,1987-88,27,Golden State Warriors,NBA,48,34.6,.438,.760,9.6,2.5,0.9,1.8,15.6,13.4,0.6,.018,-1.7,0.1,,"Harrisonburg in Harrisonburg, Virginia",1735000
sampsra01,1987-88,27,Golden State Warriors,NBA,19,37.1,.439,.741,9.1,1.9,0.9,1.7,15.9,12.6,0.7,.048,-1.3,0.1,,"Harrisonburg in Harrisonburg, Virginia",1735000
sampsra01,1987-88,27,Golden State Warriors,NBA,29,33.0,.438,.775,10.0,2.9,0.8,1.9,15.4,14.0,-0.1,-0.004,-2.0,0.0,,"Harrisonburg in Harrisonburg, Virginia",1735000
sampsra01,1988-89,28,Golden State Warriors,NBA,61,17.8,.449,.653,5.0,1.3,0.5,1.1,6.4,11.4,1.1,.048,-2.4,-0.1,,"Harrisonburg in Harrisonburg, Virginia",1960000
sampsra01,1989-90,29,Sacramento Kings,NBA,26,16.0,.372,.522,3.2,1.1,0.5,0.8,4.2,5.5,-0.6,-0.068,-6.5,-0.5,,"Harrisonburg in Harrisonburg, Virginia",2100000
sampsra01,1990-91,30,Sacramento Kings,NBA,25,13.9,.366,.263,4.4,0.7,0.4,0.7,3.0,7.2,-0.3,-0.038,-5.3,-0.3,,"Harrisonburg in Harrisonburg, Virginia",2250000
sampsra01,1991-92,31,Sacramento Kings,NBA,10,10.8,.310,.667,3.0,0.4,0.3,0.8,2.2,5.8,-0.2,-0.069,-7.1,-0.1,,"Harrisonburg in Harrisonburg, Virginia",2685000
