bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
turnean01,1986-87,22,BOS,NBA,3,6.0,.400,,0.7,0.3,0.0,0.0,1.3,-7.1,-0.1,-0.354,-16.8,-0.1,
turnean01,1987-88,23,HOU,NBA,12,8.3,.353,.714,0.7,1.9,0.6,0.1,2.9,10.4,0.0,.001,-4.3,-0.1,
turnean01,1988-89,24,MIL,NBA,4,3.3,.500,,0.8,0.0,0.5,0.0,1.5,3.6,-0.1,-0.257,-16.2,0.0,
turnean01,1989-90,25,"LAC,CHH",NBA,11,10.5,.289,1.000,0.7,2.1,0.7,0.0,2.4,6.2,-0.3,-0.111,-9.5,-0.2,
turnean01,1990-91,26,PHI,NBA,70,20.1,.439,.736,2.2,4.4,0.9,0.0,5.9,12.8,1.9,.064,-2.5,-0.2,
turnean01,1991-92,27,WSB,NBA,70,12.4,.425,.792,1.3,2.5,0.8,0.0,4.1,12.1,0.4,.021,-4.4,-0.5,
