bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
dandrbo01,1969-70,22,MIL,NBA,81,30.4,.485,,.485,.485,.754,7.7,3.6,,,13.2,15.2,6.0,.116,,,
dandrbo01,1970-71,23,MIL,NBA,79,36.2,.509,,.509,.509,.702,8.0,3.5,,,18.4,16.9,9.5,.160,,,
dandrbo01,1971-72,24,MIL,NBA,80,37.0,.498,,.498,.498,.739,7.7,3.1,,,18.4,16.1,9.1,.148,,,
dandrbo01,1972-73,25,MIL,NBA,73,39.1,.472,,.472,.472,.789,8.2,2.8,,,20.2,16.2,8.1,.136,,,
dandrbo01,1973-74,26,MIL,NBA,71,35.5,.503,,.503,.503,.818,6.7,2.8,1.6,0.6,18.9,17.0,8.4,.160,1.9,2.5,
dandrbo01,1974-75,27,MIL,NBA,80,37.9,.473,,.473,.473,.805,6.9,3.0,1.5,0.6,19.9,16.7,7.0,.111,1.4,2.6,
dandrbo01,1975-76,28,MIL,NBA,73,37.5,.502,,.502,.502,.824,7.4,2.8,1.5,0.5,21.5,19.1,9.0,.158,3.2,3.6,
dandrbo01,1976-77,29,MIL,NBA,70,35.7,.467,,.467,.467,.771,6.3,3.8,1.4,0.4,20.8,17.5,5.4,.104,1.7,2.4,
dandrbo01,1977-78,30,WSB,NBA,75,37.0,.471,,.471,.471,.788,5.9,3.8,1.3,0.6,19.3,16.1,6.8,.118,2.0,2.8,
dandrbo01,1978-79,31,WSB,NBA,78,33.7,.499,,.499,.499,.825,5.7,4.7,0.9,0.7,20.4,19.0,8.7,.158,3.1,3.4,All-NBA (2nd)
dandrbo01,1979-80,32,WSB,NBA,45,32.4,.451,.182,.455,.453,.809,5.5,4.0,0.6,0.8,17.4,14.8,1.7,.056,-0.3,0.6,
dandrbo01,1980-81,33,WSB,NBA,23,23.7,.426,.000,.428,.426,.718,3.6,2.6,0.7,0.4,10.0,11.6,0.5,.044,-1.5,0.1,
dandrbo01,1981-82,34,MIL,NBA,11,15.8,.382,,.382,.382,.588,1.5,1.2,0.5,0.2,4.7,5.2,0.0,.003,-6.4,-0.2,
