bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
catchha01,1974-75,23,PHI,NBA,37,14.3,.554,,.554,.554,.640,4.1,0.6,0.3,1.6,2.6,12.1,1.2,.107,0.1,0.3,
catchha01,1975-76,24,PHI,NBA,75,23.1,.426,,.426,.426,.604,6.9,0.8,0.3,2.2,3.5,9.6,2.3,.065,-1.2,0.3,
catchha01,1976-77,25,PHI,NBA,53,16.3,.504,,.504,.504,.702,4.4,0.6,0.4,1.5,3.0,10.0,1.7,.092,-1.3,0.2,
catchha01,1977-78,26,PHI,NBA,61,12.3,.393,,.393,.393,.618,4.1,0.6,0.3,1.1,2.9,11.2,1.4,.087,-0.2,0.3,
catchha01,1978-79,27,"PHI,NJN",NBA,57,16.6,.420,,.420,.420,.769,5.3,0.8,0.4,1.6,4.6,11.1,1.1,.058,-1.6,0.1,
catchha01,1979-80,28,MIL,NBA,72,19.0,.398,.000,.399,.398,.629,5.7,1.1,0.3,2.3,3.2,10.9,2.6,.090,1.8,1.3,
catchha01,1980-81,29,MIL,NBA,77,21.2,.447,,.447,.447,.641,6.1,1.3,0.4,2.4,4.2,10.4,3.1,.092,1.4,1.4,
catchha01,1981-82,30,MIL,NBA,80,20.0,.420,,.420,.420,.594,4.5,1.2,0.5,1.7,2.9,8.1,2.3,.070,0.9,1.2,
catchha01,1982-83,31,MIL,NBA,74,21.0,.457,,.457,.457,.674,5.5,1.0,0.4,2.0,3.3,9.8,3.1,.096,1.5,1.4,
catchha01,1983-84,32,MIL,NBA,69,16.8,.399,.000,.401,.399,.524,3.9,0.6,0.4,1.2,2.1,6.7,1.3,.056,-1.0,0.3,
catchha01,1984-85,33,LAC,NBA,70,15.0,.483,.000,.486,.483,.663,3.7,0.2,0.2,0.8,2.9,7.8,1.1,.050,-3.2,-0.3,
