name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team,Salary
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",-2.32,-0.18,greenri01,1977-78,GSW,9.3,0.3,.014,-3.8,-0.5,,23,NBA,76,14.4,.381,.600,1.5,2.0,0.8,0.0,4.5,GSW,
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",-2.38,-0.06,greenri01,1978-79,DET,10.2,-0.1,-0.012,-4.7,-0.3,,24,NBA,27,16.0,.379,.672,1.5,2.3,0.9,0.0,6.6,DET,
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",,,greenri01,1979-80,Did Not Play (other pro league—CBA),,,,,,,25,,,,,,,,,,,Did Not Play (other pro league—CBA),
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",-1.05,1.07,greenri01,1980-81,UTA,13.6,1.8,.065,-1.7,0.1,,26,NBA,47,27.8,.481,.722,2.5,5.0,1.6,0.0,9.0,UTA,
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",+1.08,6.37,greenri01,1981-82,UTA,17.4,5.7,.096,0.8,2.0,,27,NBA,81,34.8,.493,.765,3.0,7.8,2.3,0.1,14.8,UTA,
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",+1.86,7.90,greenri01,1982-83,UTA,17.2,6.6,.114,0.5,1.8,,28,NBA,78,35.7,.493,.797,2.9,8.9,2.8,0.1,14.3,UTA,
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",+2.88,10.92,greenri01,1983-84,UTA,18.0,7.9,.138,1.4,2.4,,29,NBA,81,34.2,.486,.821,2.8,9.2,2.7,0.2,13.2,UTA,
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",+1.70,7.43,greenri01,1984-85,UTA,16.3,6.7,.132,0.2,1.3,,30,NBA,77,31.6,.477,.869,2.5,7.8,1.7,0.0,13.0,UTA,255000
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",+0.52,4.06,greenri01,1985-86,UTA,16.4,5.2,.124,-0.8,0.6,,31,NBA,80,25.2,.471,.852,1.7,5.1,1.3,0.1,11.7,UTA,250000
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",+1.13,5.03,greenri01,1986-87,UTA,15.9,5.6,.128,-0.5,0.8,,32,NBA,81,25.8,.467,.827,2.0,6.7,1.4,0.0,9.6,UTA,
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",-1.18,0.83,greenri01,1987-88,UTA,13.2,1.8,.078,-3.8,-0.5,,33,NBA,81,13.8,.424,.904,1.0,3.7,0.7,0.0,4.9,UTA,312000
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",-1.39,0.59,greenri01,1988-89,TOT,13.7,1.2,.067,-3.6,-0.3,,34,NBA,63,13.8,.489,.909,1.1,3.0,0.6,0.0,4.6,"CHH,MIL",300000
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",-1.81,0.33,greenri01,1989-90,IND,10.9,0.7,.037,-5.2,-0.7,,35,NBA,69,13.4,.433,.843,0.8,2.6,0.7,0.0,3.5,IND,
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",-1.42,1.44,greenri01,1990-91,PHI,13.1,3.3,.070,-3.3,-0.7,,36,NBA,79,28.5,.463,.830,1.7,5.2,0.7,0.1,10.0,PHI,120000
Rickey Green,/players/g/greenri01.html,1978,1992,University of Michigan,false,"Hirsch Metro in Chicago, Illinois",-1.11,0.29,greenri01,1991-92,BOS,11.4,0.5,.068,-3.3,-0.1,,37,NBA,26,14.1,.447,.722,0.9,2.6,0.7,0.0,4.1,BOS,315000
