bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
porteke01,1972-73,22,BAL,NBA,71,17.1,.455,,.455,.455,.614,1.0,3.3,,,6.6,12.4,2.3,.089,,
porteke01,1973-74,23,CAP,NBA,81,28.9,.478,,.478,.478,.723,2.2,5.8,1.2,0.1,14.0,16.7,5.2,.106,1.8,2.2
porteke01,1974-75,24,WSB,NBA,81,32.0,.491,,.491,.491,.704,1.9,8.0,1.9,0.1,11.6,16.0,6.5,.120,1.4,2.3
porteke01,1975-76,25,DET,NBA,19,36.2,.421,,.421,.421,.750,2.3,10.2,1.8,0.2,12.6,15.4,0.5,.036,-0.6,0.2
porteke01,1976-77,26,DET,NBA,81,26.1,.512,,.512,.512,.729,1.2,7.3,1.1,0.1,8.9,14.7,2.7,.062,-2.2,-0.1
porteke01,1977-78,27,"DET,NJN",NBA,82,34.3,.469,,.469,.469,.763,2.6,10.2,1.5,0.2,15.0,15.7,4.2,.072,-2.1,-0.1
porteke01,1978-79,28,DET,NBA,82,37.4,.481,,.481,.481,.722,2.5,13.4,1.9,0.1,15.4,17.2,6.2,.097,-1.8,0.2
porteke01,1979-80,29,WSB,NBA,70,21.3,.459,.000,.463,.459,.803,1.2,6.5,0.8,0.2,7.3,13.1,1.8,.057,-5.2,-1.2
porteke01,1980-81,30,WSB,NBA,81,31.8,.519,.250,.523,.521,.773,1.5,9.1,1.4,0.1,13.4,16.2,6.4,.119,-1.2,0.5
porteke01,1981-82,31,Did Not Play (injury—leg),,,,,,,,,,,,,,,,,,
porteke01,1982-83,32,WSB,NBA,11,19.1,.525,,.525,.525,.833,0.5,4.2,0.9,0.0,4.3,8.4,0.2,.055,-7.3,-0.3
