bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
laniebo01,1970-71,22,DET,NBA,82,24.6,.455,,.455,.455,.726,8.1,1.8,,,15.6,20.0,5.2,.124,,
laniebo01,1971-72,23,DET,NBA,80,38.7,.493,,.493,.493,.768,14.2,3.1,,,25.7,23.1,8.4,.130,,
laniebo01,1972-73,24,DET,NBA,81,38.9,.490,,.490,.490,.773,14.9,3.2,,,23.8,22.1,10.6,.161,,
laniebo01,1973-74,25,DET,NBA,81,37.6,.504,,.504,.504,.797,13.3,4.2,1.4,3.0,22.5,23.9,14.4,.227,8.5,8.1
laniebo01,1974-75,26,DET,NBA,76,39.3,.510,,.510,.510,.802,12.0,4.6,1.0,2.3,24.0,24.4,12.4,.199,7.6,7.3
laniebo01,1975-76,27,DET,NBA,64,36.9,.532,,.532,.532,.768,11.7,3.4,1.2,1.3,21.3,22.7,10.1,.205,6.5,5.1
laniebo01,1976-77,28,DET,NBA,64,38.2,.534,,.534,.534,.818,11.6,3.3,1.1,2.0,25.3,23.0,10.3,.203,5.8,4.8
laniebo01,1977-78,29,DET,NBA,63,36.7,.537,,.537,.537,.772,11.3,3.4,1.3,1.5,24.5,24.8,10.1,.209,5.1,4.2
laniebo01,1978-79,30,DET,NBA,53,34.6,.515,,.515,.515,.749,9.3,2.6,0.9,1.4,23.6,21.7,5.9,.155,2.6,2.1
laniebo01,1979-80,31,"DET,MIL",NBA,63,33.8,.537,.167,.540,.538,.782,8.8,2.9,1.2,1.4,19.2,20.4,7.4,.168,2.9,2.6
laniebo01,1980-81,32,MIL,NBA,67,26.2,.525,1.000,.524,.526,.751,6.2,2.7,1.1,1.2,14.3,19.7,6.8,.185,3.4,2.4
laniebo01,1981-82,33,MIL,NBA,74,26.8,.558,.000,.560,.558,.752,5.2,3.0,1.0,0.8,13.5,17.4,6.6,.160,2.2,2.1
laniebo01,1982-83,34,MIL,NBA,39,25.1,.491,.000,.492,.491,.684,5.1,2.7,0.9,0.6,10.7,14.5,2.3,.112,0.9,0.7
laniebo01,1983-84,35,MIL,NBA,72,27.9,.572,.000,.575,.572,.708,6.3,2.6,0.8,0.7,13.6,17.7,6.7,.160,2.9,2.5
