bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,HS,Salary
hinsoro01,1983-84,22,CLE,NBA,80,23.2,.496,.590,6.2,0.9,0.4,1.8,5.5,10.4,2.5,.064,-0.3,0.8,,"Franklin Township in Somerset, New Jersey",
hinsoro01,1984-85,23,Cleveland Cavaliers,NBA,76,30.8,.503,.721,7.8,0.9,0.7,2.3,15.8,16.0,5.0,.103,0.1,1.2,,"Franklin Township in Somerset, New Jersey",150000
hinsoro01,1985-86,24,Cleveland Cavaliers,NBA,82,34.6,.532,.719,7.8,1.2,0.8,1.4,19.6,17.4,7.4,.125,0.7,1.9,,"Franklin Township in Somerset, New Jersey",220000
hinsoro01,1986-87,25,PHI,NBA,76,32.8,.478,.758,6.4,0.8,0.6,2.1,13.9,13.5,4.5,.087,-2.1,-0.1,,"Franklin Township in Somerset, New Jersey",
hinsoro01,1987-88,26,New Jersey Nets,NBA,77,33.7,.487,.775,6.7,1.3,0.9,1.8,15.3,14.8,4.5,.083,-0.8,0.8,,"Franklin Township in Somerset, New Jersey",420000
hinsoro01,1987-88,26,New Jersey Nets,NBA,29,29.1,.452,.718,5.8,0.9,0.8,2.3,11.6,13.0,0.9,.052,-1.8,0.0,,"Franklin Township in Somerset, New Jersey",420000
hinsoro01,1987-88,26,New Jersey Nets,NBA,48,36.4,.502,.806,7.3,1.5,0.9,1.5,17.6,15.6,3.5,.097,-0.3,0.8,,"Franklin Township in Somerset, New Jersey",420000
hinsoro01,1988-89,27,New Jersey Nets,NBA,82,31.0,.482,.757,6.4,0.9,0.4,1.5,16.0,14.7,4.4,.084,-2.6,-0.4,,"Franklin Township in Somerset, New Jersey",695000
hinsoro01,1989-90,28,New Jersey Nets,NBA,25,31.7,.507,.869,6.9,0.9,0.6,1.1,15.0,15.2,1.8,.107,-1.7,0.1,,"Franklin Township in Somerset, New Jersey",1000000
hinsoro01,1990-91,29,New Jersey Nets,NBA,9,10.1,.513,.333,2.1,0.4,0.0,0.3,4.6,11.1,0.1,.036,-6.5,-0.1,,"Franklin Township in Somerset, New Jersey",1250000
