name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",+1.31,1.34,reynoje01,1985-86,MIL,15.2,1.0,.096,2.2,0.5,,NBA,175332,23,55,9.2,.444,.558,1.5,1.6,0.8,0.3,3.7,MIL
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",-0.74,1.00,reynoje01,1986-87,MIL,12.9,0.9,.046,-1.0,0.3,,NBA,,24,58,16.6,.393,.641,3.0,1.8,0.9,0.5,7.0,MIL
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",-0.94,1.06,reynoje01,1987-88,MIL,13.6,1.3,.055,-0.4,0.5,,NBA,181334,25,62,18.7,.449,.773,2.6,1.7,1.2,0.5,8.0,MIL
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",+0.15,1.28,reynoje01,1988-89,SEA,17.6,1.6,.107,-0.8,0.2,,NBA,300000,26,56,13.2,.417,.760,1.8,1.1,0.9,0.5,7.6,SEA
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",-0.71,1.94,reynoje01,1989-90,ORL,14.1,1.3,.035,-0.8,0.5,,NBA,,27,67,27.1,.417,.742,4.8,2.7,1.4,1.0,12.8,ORL
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",+0.75,3.77,reynoje01,1990-91,ORL,17.8,3.7,.096,0.9,1.3,,NBA,450000,28,80,23.0,.434,.802,3.7,2.5,1.2,0.7,12.9,ORL
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",-1.45,0.64,reynoje01,1991-92,ORL,13.9,0.6,.025,-1.7,0.1,,NBA,1300000,29,46,25.2,.380,.836,3.2,3.3,1.4,0.4,12.1,ORL
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",,,reynoje01,1992-93,Did Not Play (injury),,,,,,,NBA,910000,30,,,,,,,,,,Did Not Play (injury)
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",,,reynoje01,1993-94,Did Not Play,,,,,,,NBA,1288000,31,,,,,,,,,,Did Not Play
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",,,reynoje01,1994-95,Did Not Play (other pro league—USBL),,,,,,,NBA,1667500,32,,,,,,,,,,Did Not Play (other pro league—USBL)
Jerry Reynolds,/players/r/reynoje01.html,1986,1996,Louisiana State University,false,"Alexander Hamilton in Brooklyn, New York",-0.31,0.25,reynoje01,1995-96,MIL,11.2,0.0,-0.002,-1.6,0.0,,NBA,,33,19,10.1,.396,.619,1.7,0.6,0.8,0.3,2.9,MIL
