name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Jim Chones,/players/c/choneji01.html,1973,1982,Marquette University,false,"St. Catherine in Racine, Wisconsin",+0.13,4.05,choneji01,1976-77,CLE,14.8,5.9,.119,-1.0,0.6,,27,NBA,82,29.0,.463,.731,8.4,1.3,0.4,0.9,12.9,CLE
Jim Chones,/players/c/choneji01.html,1973,1982,Marquette University,false,"St. Catherine in Racine, Wisconsin",-0.13,4.32,choneji01,1977-78,CLE,14.9,6.4,.105,-0.1,1.4,,28,NBA,82,35.4,.472,.720,10.3,1.6,0.6,0.7,15.0,CLE
Jim Chones,/players/c/choneji01.html,1973,1982,Marquette University,false,"St. Catherine in Racine, Wisconsin",-0.91,2.60,choneji01,1978-79,CLE,13.7,3.3,.056,-1.0,0.7,,29,NBA,82,34.8,.440,.735,10.3,2.2,0.6,1.2,13.4,CLE
Jim Chones,/players/c/choneji01.html,1973,1982,Marquette University,false,"St. Catherine in Racine, Wisconsin",-1.70,1.07,choneji01,1979-80,LAL,11.3,3.5,.071,-1.8,0.1,,30,NBA,82,29.2,.489,.740,6.9,1.8,0.7,0.8,10.6,LAL
Jim Chones,/players/c/choneji01.html,1973,1982,Marquette University,false,"St. Catherine in Racine, Wisconsin",-0.75,2.69,choneji01,1980-81,LAL,11.8,4.7,.088,-0.9,0.7,,31,NBA,82,31.2,.503,.653,8.0,1.9,0.5,1.2,10.8,LAL
Jim Chones,/players/c/choneji01.html,1973,1982,Marquette University,false,"St. Catherine in Racine, Wisconsin",-1.26,0.57,choneji01,1981-82,WSB,8.6,1.4,.076,-1.4,0.1,,32,NBA,59,14.7,.433,.783,3.1,1.1,0.3,0.5,3.1,WSB
