bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
murphca01,1970-71,22,SDR,NBA,82,24.6,.458,,.458,.458,.820,3.0,4.0,,,15.8,19.4,8.0,.191,,
murphca01,1971-72,23,HOU,NBA,82,31.0,.455,,.455,.455,.890,3.1,4.8,,,18.2,18.1,8.3,.157,,
murphca01,1972-73,24,HOU,NBA,77,22.0,.465,,.465,.465,.888,1.9,3.4,,,13.0,17.5,5.0,.141,,
murphca01,1973-74,25,HOU,NBA,81,36.1,.522,,.522,.522,.868,2.3,7.4,1.9,0.0,20.4,20.0,9.2,.152,3.0,3.7
murphca01,1974-75,26,HOU,NBA,78,32.2,.484,,.484,.484,.883,2.2,4.9,1.6,0.1,18.7,18.9,7.4,.141,1.6,2.3
murphca01,1975-76,27,HOU,NBA,82,36.5,.493,,.493,.493,.907,2.5,7.3,1.8,0.1,21.0,19.9,8.8,.141,2.4,3.4
murphca01,1976-77,28,HOU,NBA,82,33.7,.490,,.490,.490,.886,2.1,4.7,1.8,0.1,17.9,17.4,7.7,.134,1.6,2.5
murphca01,1977-78,29,HOU,NBA,76,38.2,.491,,.491,.491,.918,2.2,3.4,1.5,0.0,25.6,19.5,7.4,.122,0.6,1.9
murphca01,1978-79,30,HOU,NBA,82,35.9,.496,,.496,.496,.928,2.1,4.3,1.4,0.1,20.2,16.1,6.8,.112,0.0,1.5
murphca01,1979-80,31,HOU,NBA,76,35.2,.493,.040,.502,.493,.897,2.0,3.9,1.9,0.1,20.0,16.8,7.2,.129,0.6,1.7
murphca01,1980-81,32,HOU,NBA,76,26.5,.492,.235,.496,.493,.958,1.1,2.9,1.5,0.1,16.7,18.1,5.4,.128,-0.6,0.7
murphca01,1981-82,33,HOU,NBA,64,18.8,.427,.063,.437,.428,.909,1.0,2.5,0.7,0.0,10.2,13.2,1.3,.051,-4.7,-0.8
murphca01,1982-83,34,HOU,NBA,64,22.2,.447,.286,.450,.450,.920,1.2,2.5,0.9,0.1,12.8,14.8,1.6,.055,-3.5,-0.5
