bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
smithis01,2010-11,22,Memphis Grizzlies,NBA,43,10.3,.374,.571,1.1,1.8,0.4,0.0,2.3,7.6,-0.1,-0.016,-6.1,-0.5,,473604
smithis01,2010-11,22,Memphis Grizzlies,NBA,28,11.8,.386,.700,1.5,2.3,0.5,0.1,2.6,8.8,0.0,.002,-5.1,-0.3,,473604
smithis01,2010-11,22,Memphis Grizzlies,NBA,15,7.5,.344,.455,0.3,1.0,0.3,0.0,1.8,4.3,-0.2,-0.066,-9.0,-0.2,,473604
smithis01,2011-12,23,Orlando Magic,NBA,26,9.0,.383,.700,1.3,1.6,0.6,0.1,2.8,14.1,0.3,.062,-1.7,0.0,,522486
smithis01,2011-12,23,Orlando Magic,NBA,6,10.5,.400,.500,1.5,1.5,0.7,0.0,4.5,16.7,0.1,.069,-1.6,0.0,,522486
smithis01,2011-12,23,Orlando Magic,NBA,20,8.6,.373,.750,1.3,1.6,0.6,0.1,2.3,13.1,0.2,.060,-1.7,0.0,,522486
smithis01,2012-13,24,Milwaukee Bucks,NBA,52,9.9,.352,.429,1.2,1.7,0.4,0.2,2.4,8.5,-0.4,-0.040,-6.2,-0.5,,854389
smithis01,2012-13,24,Milwaukee Bucks,NBA,36,10.5,.336,.429,1.3,1.6,0.4,0.2,2.4,7.2,-0.6,-0.073,-7.0,-0.5,,854389
smithis01,2012-13,24,Milwaukee Bucks,NBA,16,8.6,.395,,0.9,1.9,0.5,0.2,2.4,12.1,0.1,.049,-4.0,-0.1,,854389
smithis01,2013-14,25,Milwaukee Bucks,NBA,70,14.4,.423,.564,1.8,2.6,0.7,0.2,3.7,11.7,1.0,.048,-2.3,-0.1,,951463
smithis01,2014-15,26,Houston Rockets,NBA,55,15.1,.390,.596,1.8,3.3,0.7,0.1,6.1,12.3,-0.1,-0.006,-4.1,-0.4,,981084
smithis01,2014-15,26,Houston Rockets,NBA,30,5.2,.333,.667,0.9,0.9,0.1,0.0,1.2,9.0,0.0,.014,-5.7,-0.1,,981084
smithis01,2014-15,26,Houston Rockets,NBA,25,27.1,.398,.583,2.9,6.1,1.3,0.2,12.0,13.0,-0.1,-0.010,-3.7,-0.3,,981084
smithis01,2015-16,27,Philadelphia 76ers,NBA,77,29.1,.411,.693,4.0,6.5,1.1,0.3,12.6,14.9,1.3,.027,-1.7,0.1,,1100602
smithis01,2015-16,27,Philadelphia 76ers,NBA,27,22.9,.430,.767,3.4,5.7,0.9,0.2,8.9,16.3,0.9,.070,-1.1,0.1,,1100602
smithis01,2015-16,27,Philadelphia 76ers,NBA,50,32.4,.405,.669,4.3,7.0,1.3,0.4,14.7,14.4,0.4,.011,-2.0,0.0,,1100602
smithis01,2016-17,28,Detroit Pistons,NBA,81,24.1,.439,.706,2.9,5.2,0.8,0.4,9.4,14.7,3.1,.076,-0.8,0.6,,6000000
smithis01,2017-18,29,Detroit Pistons,NBA,82,24.9,.486,.698,2.7,4.4,0.8,0.2,10.9,15.4,4.4,.102,-1.2,0.4,,6000000
