bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
architi01,1970-71,22,CIN,NBA,82,35.0,.444,,.444,.444,.757,3.0,5.5,,,16.0,14.0,5.1,.085,,,
architi01,1971-72,23,CIN,NBA,76,43.1,.486,,.486,.486,.822,2.9,9.2,,,28.2,23.0,12.9,.189,,,All-NBA (2nd)
architi01,1972-73,24,KCO,NBA,80,46.0,.488,,.488,.488,.847,2.8,11.4,,,34.0,25.2,14.2,.186,,,All-NBA (1st)
architi01,1973-74,25,KCO,NBA,35,36.3,.451,,.451,.451,.820,2.4,7.6,1.6,0.2,17.6,18.3,2.3,.088,0.6,0.8,
architi01,1974-75,26,KCO,NBA,82,39.6,.456,,.456,.456,.872,2.7,6.8,1.5,0.1,26.5,21.7,11.2,.165,3.6,4.6,All-NBA (1st)
architi01,1975-76,27,KCK,NBA,78,40.8,.453,,.453,.453,.802,2.7,7.9,1.6,0.2,24.8,20.1,8.0,.121,2.3,3.4,All-NBA (1st)
architi01,1976-77,28,NYN,NBA,34,37.6,.446,,.446,.446,.785,2.4,7.5,1.7,0.3,20.5,19.4,2.8,.104,2.2,1.4,
architi01,1977-78,29,Did Not Play (injury—achilles),,,,,,,,,,,,,,,,,,,
architi01,1978-79,30,BOS,NBA,69,24.1,.452,,.452,.452,.788,1.5,4.7,0.8,0.1,11.0,13.1,1.6,.046,-4.7,-1.1,
architi01,1979-80,31,BOS,NBA,80,35.8,.482,.222,.488,.485,.830,2.5,8.4,1.3,0.1,14.1,15.3,8.9,.148,0.0,1.5,
architi01,1980-81,32,BOS,NBA,80,35.3,.499,.000,.505,.499,.816,2.2,7.7,0.9,0.2,13.8,14.3,6.9,.118,-1.3,0.5,All-NBA (2nd)
architi01,1981-82,33,BOS,NBA,68,31.9,.472,.375,.475,.477,.747,1.7,8.0,0.8,0.0,12.6,14.3,5.2,.115,-2.5,-0.2,
architi01,1982-83,34,BOS,NBA,66,27.4,.425,.208,.435,.429,.743,1.4,6.2,0.6,0.1,10.5,12.3,2.9,.077,-4.4,-1.1,
architi01,1983-84,35,MIL,NBA,46,22.6,.487,.222,.506,.495,.634,1.7,3.5,0.7,0.0,7.4,10.6,1.4,.065,-3.1,-0.3,
