bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,HS,Salary
knighbi01,1976-77,24,IND,NBA,78,40.0,.493,.816,7.5,3.3,1.5,0.2,26.6,20.1,10.7,.164,3.1,4.0,,"Braddock in Braddock, Pennsylvania",
knighbi01,1977-78,25,BUF,NBA,53,40.7,.494,.809,7.2,3.0,1.5,0.2,22.9,18.7,6.0,.133,2.0,2.2,,"Braddock in Braddock, Pennsylvania",
knighbi01,1978-79,26,"BOS,IND",NBA,79,26.5,.528,.841,4.4,1.9,0.8,0.1,14.3,15.3,3.7,.085,-1.7,0.1,,"Braddock in Braddock, Pennsylvania",
knighbi01,1979-80,27,IND,NBA,75,25.5,.533,.809,4.8,2.1,1.1,0.1,13.1,18.0,5.8,.145,0.6,1.2,,"Braddock in Braddock, Pennsylvania",
knighbi01,1980-81,28,IND,NBA,82,29.1,.533,.832,5.0,1.9,1.0,0.1,17.5,19.9,8.4,.170,1.7,2.3,,"Braddock in Braddock, Pennsylvania",
knighbi01,1981-82,29,IND,NBA,81,22.3,.495,.826,3.2,1.5,0.8,0.2,12.3,16.7,4.3,.115,-0.6,0.6,,"Braddock in Braddock, Pennsylvania",
knighbi01,1982-83,30,IND,NBA,80,28.3,.520,.841,4.1,2.4,0.8,0.1,17.1,18.7,5.8,.123,-0.2,1.0,,"Braddock in Braddock, Pennsylvania",
knighbi01,1983-84,31,KCK,NBA,75,25.1,.491,.859,3.4,2.1,0.7,0.1,12.8,14.3,3.4,.086,-1.3,0.3,,"Braddock in Braddock, Pennsylvania",
knighbi01,1984-85,32,Kansas City Kings,NBA,68,11.8,.441,.877,1.7,1.2,0.2,0.0,5.7,11.7,0.4,.025,-4.7,-0.6,,"Braddock in Braddock, Pennsylvania",433000
knighbi01,1984-85,32,Kansas City Kings,NBA,16,11.8,.449,.813,1.4,1.3,0.1,0.1,4.8,10.2,0.1,.021,-5.1,-0.1,,"Braddock in Braddock, Pennsylvania",433000
knighbi01,1984-85,32,Kansas City Kings,NBA,52,11.8,.439,.895,1.8,1.1,0.3,0.0,6.0,12.2,0.3,.027,-4.6,-0.4,,"Braddock in Braddock, Pennsylvania",433000
