bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
reevekh01,1994-95,22,Miami Heat,NBA,67,21.8,.443,.714,2.8,4.3,1.1,0.1,9.2,16.9,3.5,.115,1.6,1.3,,1300000
reevekh01,1995-96,23,Charlotte Hornets,NBA,51,16.3,.419,.744,1.5,2.3,0.7,0.1,5.5,11.1,1.1,.064,-2.0,0.0,,1602000
reevekh01,1995-96,23,Charlotte Hornets,NBA,20,20.9,.458,.843,2.0,3.6,0.8,0.1,8.1,15.1,1.0,.111,-1.0,0.1,,1602000
reevekh01,1995-96,23,Charlotte Hornets,NBA,31,13.4,.376,.581,1.3,1.5,0.7,0.1,3.8,7.2,0.1,.017,-3.1,-0.1,,1602000
reevekh01,1996-97,24,New Jersey Nets,NBA,63,22.7,.391,.747,1.9,3.6,0.5,0.1,8.2,11.1,1.2,.041,-3.5,-0.5,,1752000
reevekh01,1996-97,24,New Jersey Nets,NBA,50,21.0,.393,.747,1.8,3.4,0.5,0.1,8.3,12.1,1.3,.060,-3.1,-0.3,,1752000
reevekh01,1996-97,24,New Jersey Nets,NBA,13,29.5,.387,.750,2.4,4.3,0.8,0.2,7.8,8.3,-0.1,-0.011,-4.5,-0.2,,1752000
reevekh01,1997-98,25,Dallas Mavericks,NBA,82,23.8,.418,.775,2.3,2.8,1.0,0.1,8.7,13.1,2.5,.062,-2.1,-0.1,,1852000
reevekh01,1998-99,26,Dallas Mavericks,NBA,11,10.2,.381,.571,0.6,1.0,0.4,0.0,2.3,6.8,0.1,.025,-5.0,-0.1,,2002000
reevekh01,1999-00,27,Chicago Bulls,NBA,3,16.0,.250,1.000,1.3,4.3,0.7,0.0,3.7,7.8,0.0,-0.046,-9.6,-0.1,,30309
