bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,HS,Salary
nancela01,1981-82,22,PHO,NBA,80,14.8,.521,.641,3.2,1.0,0.5,0.9,6.6,14.7,2.4,.098,-0.5,0.5,,"McDuffie in Anderson, South Carolina",
nancela01,1982-83,23,PHO,NBA,82,35.5,.550,.672,8.7,2.4,1.2,2.6,16.7,18.7,10.5,.172,4.6,4.9,,"McDuffie in Anderson, South Carolina",
nancela01,1983-84,24,PHO,NBA,82,35.4,.576,.707,8.3,2.6,1.0,2.1,17.7,19.4,9.8,.163,4.3,4.7,,"McDuffie in Anderson, South Carolina",
nancela01,1984-85,25,Phoenix Suns,NBA,61,36.1,.587,.709,8.8,2.6,1.4,1.7,19.9,20.6,7.9,.173,5.2,4.0,,"McDuffie in Anderson, South Carolina",400000
nancela01,1985-86,26,Phoenix Suns,NBA,73,34.0,.581,.698,8.5,3.3,1.0,1.8,20.2,20.5,8.4,.163,4.2,3.9,,"McDuffie in Anderson, South Carolina",500000
nancela01,1986-87,27,PHO,NBA,69,37.2,.551,.773,8.7,3.4,1.2,2.1,22.5,22.2,10.2,.190,5.4,4.8,,"McDuffie in Anderson, South Carolina",
nancela01,1987-88,28,Cleveland Cavaliers,NBA,67,35.6,.529,.779,9.1,3.1,0.9,2.4,19.1,20.3,8.0,.161,4.0,3.6,,"McDuffie in Anderson, South Carolina",625000
nancela01,1987-88,28,Cleveland Cavaliers,NBA,40,36.9,.531,.751,9.9,3.1,1.1,2.4,21.1,20.5,4.3,.141,3.6,2.1,,"McDuffie in Anderson, South Carolina",625000
nancela01,1987-88,28,Cleveland Cavaliers,NBA,27,33.6,.526,.830,7.9,3.1,0.7,2.3,16.2,19.9,3.6,.192,4.7,1.5,,"McDuffie in Anderson, South Carolina",625000
nancela01,1988-89,29,Cleveland Cavaliers,NBA,73,34.6,.539,.799,8.0,2.2,0.8,2.8,17.2,19.9,10.3,.197,4.0,3.8,,"McDuffie in Anderson, South Carolina",800000
nancela01,1989-90,30,Cleveland Cavaliers,NBA,62,33.3,.511,.778,8.3,2.6,0.9,2.0,16.3,19.1,6.5,.152,2.8,2.5,,"McDuffie in Anderson, South Carolina",1000000
nancela01,1990-91,31,Cleveland Cavaliers,NBA,80,36.6,.524,.803,8.6,3.0,0.8,2.5,19.2,20.6,9.8,.160,3.9,4.3,,"McDuffie in Anderson, South Carolina",1260000
nancela01,1991-92,32,Cleveland Cavaliers,NBA,81,35.6,.539,.822,8.3,2.9,1.0,3.0,17.0,21.4,12.2,.204,5.8,5.7,,"McDuffie in Anderson, South Carolina",1363000
nancela01,1992-93,33,Cleveland Cavaliers,NBA,77,35.8,.549,.818,8.7,2.9,0.7,2.6,16.5,19.8,10.7,.187,4.4,4.4,,"McDuffie in Anderson, South Carolina",2775000
nancela01,1993-94,34,Cleveland Cavaliers,NBA,33,27.5,.487,.753,6.9,1.5,0.8,1.7,11.2,17.1,2.8,.146,1.6,0.8,,"McDuffie in Anderson, South Carolina",2840000
