bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
bristal01,1973-74,22,PHI,NBA,55,11.7,.400,,.400,.400,.737,3.0,1.7,0.5,0.0,4.7,15.0,0.5,.039,-0.6,0.2,
bristal01,1974-75,23,PHI,NBA,72,15.3,.415,,.415,.415,.791,3.5,1.4,0.3,0.0,6.2,14.7,1.9,.082,-1.6,0.1,
bristal01,1975-76,24,SAA,ABA,47,18.8,.461,.000,.463,.461,.848,3.7,2.6,0.5,0.0,7.0,13.5,1.9,.104,-0.5,0.3,
bristal01,1976-77,25,SAS,NBA,82,24.6,.489,,.489,.489,.798,4.2,2.9,1.1,0.0,11.4,15.4,4.3,.101,0.2,1.1,
bristal01,1977-78,26,SAS,NBA,82,18.1,.478,,.478,.478,.731,3.1,2.4,0.8,0.0,8.1,14.6,2.8,.089,-0.5,0.6,
bristal01,1978-79,27,SAS,NBA,74,17.9,.492,,.492,.492,.832,3.3,3.1,0.8,0.2,6.4,14.2,3.5,.126,0.9,1.0,
bristal01,1979-80,28,UTA,NBA,82,28.1,.480,.286,.482,.482,.811,6.2,4.2,1.1,0.1,11.6,16.6,4.4,.091,1.1,1.8,
bristal01,1980-81,29,UTA,NBA,82,24.4,.444,.278,.449,.448,.838,5.2,4.7,0.8,0.0,8.7,14.9,2.7,.065,-0.8,0.6,
bristal01,1981-82,30,DAL,NBA,82,24.8,.437,.167,.447,.440,.817,4.1,5.5,0.8,0.1,7.0,12.6,2.5,.059,-0.6,0.7,
bristal01,1982-83,31,DAL,NBA,37,10.0,.444,.462,.442,.475,.714,1.6,1.9,0.2,0.0,2.8,10.2,0.2,.030,-3.3,-0.1,
