name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Charles Dudley,/players/d/dudlech01.html,1973,1979,University of Washington,false,"John Harris in Harrisburg, Pennsylvania",+0.89,4.17,dudlech01,1976-77,GSW,15.7,4.0,.115,2.1,1.7,,26,NBA,79,21.3,.523,.635,3.7,4.4,0.8,0.1,7.2,GSW
Charles Dudley,/players/d/dudlech01.html,1973,1979,University of Washington,false,"John Harris in Harrisburg, Pennsylvania",-0.03,2.53,dudlech01,1977-78,GSW,13.4,3.6,.105,-0.6,0.6,,27,NBA,78,21.3,.510,.708,3.7,5.2,0.9,0.0,5.0,GSW
Charles Dudley,/players/d/dudlech01.html,1973,1979,University of Washington,false,"John Harris in Harrisburg, Pennsylvania",-2.34,-0.08,dudlech01,1978-79,CHI,6.4,-0.1,-0.009,-4.2,-0.4,,28,NBA,43,15.9,.360,.667,2.0,2.7,0.7,0.0,2.7,CHI
