name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",+0.07,0.04,marksse01,1998-99,TOR,7.8,0.0,-0.036,-10.3,-0.1,,NBA,287500,23,8,3.5,.625,.500,0.1,0.0,0.1,0.0,1.4,TOR
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",-0.09,0.02,marksse01,1999-00,TOR,9.7,0.0,-0.094,-15.8,0.0,,NBA,385000,24,5,2.4,.333,1.000,0.4,0.0,0.2,0.2,1.6,TOR
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",,,marksse01,2000-01,Did Not Play (other pro league—Poland),,,,,,,,,25,,,,,,,,,,Did Not Play (other pro league—Poland)
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",-2.24,-0.05,marksse01,2001-02,MIA,9.3,0.3,.044,-5.6,-0.3,,NBA,565850,26,21,15.2,.432,.588,3.6,0.4,0.2,0.5,4.6,MIA
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",-0.43,0.27,marksse01,2002-03,MIA,3.8,-0.2,-0.037,-8.3,-0.4,,NBA,612435,27,23,9.7,.373,.667,1.5,0.1,0.2,0.3,2.3,MIA
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",,,marksse01,2003-04,Did Not Play (injury—knee),,,,,,,NBA,596295,28,,,,,,,,,,Did Not Play (injury—knee)
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",-2.27,-0.02,marksse01,2004-05,SAS,8.7,0.2,.038,-5.9,-0.2,,NBA,745046,29,23,10.6,.338,.786,2.4,0.3,0.1,0.5,3.3,SAS
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",-0.81,0.18,marksse01,2005-06,SAS,17.9,0.6,.156,-1.4,0.0,,NBA,835810,30,25,7.2,.521,.583,1.7,0.3,0.2,0.3,3.2,SAS
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",-1.32,0.01,marksse01,2006-07,PHO,6.7,0.0,.043,-11.2,0.0,,NBA,932015,31,3,5.7,.333,1.000,1.0,0.0,0.0,0.3,2.0,PHO
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",-2.48,-0.02,marksse01,2007-08,PHO,16.1,0.3,.121,-2.6,0.0,,NBA,1033930,32,19,6.8,.535,.632,1.9,0.2,0.2,0.5,3.1,PHO
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",-3.01,-0.45,marksse01,2008-09,NOH,8.8,1.2,.067,-4.1,-0.5,,NBA,1141838,33,60,14.0,.485,.682,3.1,0.2,0.1,0.6,3.2,NOH
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",+0.13,0.12,marksse01,2009-10,NOH,9.0,0.2,.104,-1.5,0.0,,NBA,1187686,34,14,5.4,.500,.400,1.6,0.1,0.0,0.2,0.7,NOH
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false,"Rangitoto School in Auckland, New Zealand",-3.35,-0.16,marksse01,2010-11,POR,4.9,0.1,.019,-6.0,-0.2,,NBA,1264687,35,29,7.2,.432,.625,1.4,0.1,0.1,0.2,1.6,POR
