bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
heardga01,1970-71,22,SEA,NBA,65,15.8,.381,,.381,.381,.656,5.0,0.7,,,5.9,10.4,-0.3,-0.013,,
heardga01,1971-72,23,SEA,NBA,58,25.8,.401,,.401,.401,.617,7.6,0.9,,,7.9,10.1,0.1,.003,,
heardga01,1972-73,24,"SEA,CHI",NBA,81,19.2,.425,,.425,.425,.652,5.6,0.7,,,10.1,14.9,2.4,.075,,
heardga01,1973-74,25,BUF,NBA,81,35.7,.435,,.435,.435,.650,11.7,2.2,1.7,2.8,15.3,16.0,5.0,.084,0.3,1.7
heardga01,1974-75,26,BUF,NBA,67,32.1,.388,,.388,.388,.564,9.9,2.8,1.6,1.8,11.1,13.6,2.1,.046,0.3,1.3
heardga01,1975-76,27,"BUF,PHO",NBA,86,31.9,.435,,.435,.435,.637,10.1,2.2,1.4,1.1,11.0,13.7,4.5,.079,-0.5,1.1
heardga01,1976-77,28,PHO,NBA,46,29.6,.379,,.379,.379,.725,9.6,1.9,1.2,1.2,9.7,12.6,1.7,.062,-1.5,0.2
heardga01,1977-78,29,PHO,NBA,80,26.2,.424,,.424,.424,.612,8.2,1.7,1.6,1.3,7.8,12.9,4.5,.103,0.9,1.5
heardga01,1978-79,30,PHO,NBA,63,19.3,.441,,.441,.441,.689,5.6,1.0,0.8,0.9,6.3,12.6,2.6,.101,-0.9,0.3
heardga01,1979-80,31,PHO,NBA,82,17.1,.417,.000,.419,.417,.744,4.6,1.2,1.0,0.6,5.0,11.5,2.3,.080,-0.3,0.6
heardga01,1980-81,32,SDC,NBA,78,20.9,.376,.000,.383,.376,.782,4.5,1.6,1.3,0.9,4.8,10.9,2.0,.059,0.9,1.2
