bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,Award
hassejo01,1977-78,22,SEA,NBA,48,8.4,.444,,.444,.444,.833,0.8,0.9,0.4,0.0,4.0,
hassejo01,1978-79,23,SEA,NBA,55,8.4,.474,,.474,.474,1.000,0.8,0.8,0.3,0.1,4.1,
hassejo01,1979-80,24,IND,NBA,74,15.3,.422,.348,.469,.490,.828,1.3,1.4,0.6,0.1,7.1,
hassejo01,1980-81,25,"DAL,GSW",NBA,41,17.4,.421,.340,.489,.499,.810,1.7,1.8,0.3,0.0,8.7,
hassejo01,1981-82,26,GSW,NBA,68,11.6,.377,.332,.435,.470,.838,0.8,1.5,0.4,0.0,5.7,
hassejo01,1982-83,27,GSW,NBA,6,23.2,.432,.111,.514,.443,,1.8,3.5,0.3,0.0,6.5,
