name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Marquis Teague,/players/t/teaguma01.html,2013,2018,University of Kentucky,true,"Pike in Indianapolis, Indiana",-2.74,-0.18,teaguma01,2012-13,CHI,6.0,-0.3,-0.031,-7.3,-0.5,,NBA,1028400,19,48,8.2,.381,.563,0.9,1.3,0.2,0.1,2.1,CHI
Marquis Teague,/players/t/teaguma01.html,2013,2018,University of Kentucky,true,"Pike in Indianapolis, Indiana",-4.27,-0.64,teaguma01,2013-14,TOT,3.8,-0.5,-0.059,-8.8,-0.8,,NBA,1074720,20,40,11.1,.319,.743,1.0,1.5,0.3,0.1,2.7,"CHI,BRK"
Marquis Teague,/players/t/teaguma01.html,2013,2018,University of Kentucky,true,"Pike in Indianapolis, Indiana",,,teaguma01,2014-15,Did Not Play,,,,,,,NBA,1120920,21,,,,,,,,,,Did Not Play
Marquis Teague,/players/t/teaguma01.html,2013,2018,University of Kentucky,true,"Pike in Indianapolis, Indiana",,,teaguma01,2015-16,Did Not Play,,,,,,,,,22,,,,,,,,,,Did Not Play
Marquis Teague,/players/t/teaguma01.html,2013,2018,University of Kentucky,true,"Pike in Indianapolis, Indiana",,,teaguma01,2016-17,Did Not Play,,,,,,,,,23,,,,,,,,,,Did Not Play
Marquis Teague,/players/t/teaguma01.html,2013,2018,University of Kentucky,true,"Pike in Indianapolis, Indiana",-0.87,0.07,teaguma01,2017-18,MEM,5.7,-0.1,-0.038,-7.3,-0.1,,NBA,157945,24,3,24.7,.250,.400,2.0,4.3,1.3,0.0,3.7,MEM
