bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
griffad01,1999-00,25,Boston Celtics,NBA,72,26.8,.424,.753,5.2,2.5,1.6,0.2,6.7,12.6,3.9,.098,1.7,1.8,,385000
griffad01,2000-01,26,Boston Celtics,NBA,44,8.6,.340,.750,2.0,0.6,0.4,0.1,2.1,10.5,0.4,.056,-2.9,-0.1,,498500
griffad01,2001-02,27,Dallas Mavericks,NBA,58,23.8,.499,.837,3.9,1.8,1.3,0.2,7.2,14.2,3.5,.121,2.4,1.5,,565850
griffad01,2002-03,28,Dallas Mavericks,NBA,74,18.6,.433,.844,3.6,1.4,1.0,0.1,4.4,11.5,2.9,.100,0.9,1.0,,637435
griffad01,2003-04,29,Houston Rockets,NBA,19,7.0,.278,.000,1.0,0.5,0.4,0.1,0.6,4.5,0.1,.031,-3.0,0.0,,751179
griffad01,2004-05,30,Chicago Bulls,NBA,69,9.7,.360,.750,2.1,0.8,0.6,0.1,2.2,10.7,1.3,.095,0.3,0.4,,870046
griffad01,2005-06,31,Dallas Mavericks,NBA,52,23.9,.480,.774,4.4,1.7,1.0,0.2,4.6,11.6,2.9,.113,2.3,1.4,,768718
griffad01,2006-07,32,Chicago Bulls,NBA,54,10.8,.473,.789,2.0,1.1,0.6,0.1,2.5,10.7,1.3,.103,0.3,0.3,,1475000
griffad01,2007-08,33,Seattle SuperSonics,NBA,35,8.8,.395,.556,1.7,0.8,0.5,0.1,1.9,8.7,0.0,.001,-3.0,-0.1,,1593000
griffad01,2007-08,33,Seattle SuperSonics,NBA,22,10.1,.400,.429,1.7,1.0,0.5,0.0,2.3,8.5,0.0,-0.009,-3.4,-0.1,,1593000
griffad01,2007-08,33,Seattle SuperSonics,NBA,13,6.5,.375,1.000,1.7,0.4,0.4,0.1,1.1,9.3,0.0,.027,-1.9,0.0,,1593000
