bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
carrau01,1971-72,23,CLE,NBA,43,35.8,.426,,.426,.426,.760,3.5,3.4,,,21.2,14.5,1.0,.030,,
carrau01,1972-73,24,CLE,NBA,82,37.8,.446,,.446,.446,.822,4.5,3.4,,,20.5,15.4,5.9,.091,,
carrau01,1973-74,25,CLE,NBA,81,38.3,.445,,.445,.445,.856,3.6,3.8,1.1,0.2,21.9,15.8,5.4,.084,-0.4,1.2
carrau01,1974-75,26,CLE,NBA,41,26.4,.468,,.468,.468,.840,2.6,3.8,1.2,0.0,14.5,18.9,2.9,.127,1.8,1.0
carrau01,1975-76,27,CLE,NBA,65,19.7,.442,,.442,.442,.791,2.0,1.9,0.6,0.0,10.1,15.2,2.6,.097,-1.4,0.2
carrau01,1976-77,28,CLE,NBA,82,29.4,.457,,.457,.457,.795,2.9,2.7,0.7,0.1,16.2,15.3,5.3,.105,-0.3,1.0
carrau01,1977-78,29,CLE,NBA,82,26.7,.438,,.438,.438,.813,2.3,2.7,0.8,0.2,12.3,13.6,3.4,.074,-1.3,0.4
carrau01,1978-79,30,CLE,NBA,82,33.1,.475,,.475,.475,.816,3.5,2.6,0.9,0.2,17.0,15.4,5.0,.088,-0.5,1.0
carrau01,1979-80,31,CLE,NBA,77,20.7,.465,.333,.466,.466,.738,2.1,1.9,0.5,0.0,11.8,14.3,2.0,.059,-2.8,-0.3
carrau01,1980-81,32,"DAL,WSB",NBA,47,14.0,.372,.000,.383,.372,.630,1.3,1.2,0.3,0.0,4.4,6.2,-0.4,-0.029,-5.7,-0.6
