bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
tolbeto01,1988-89,23,Charlotte Hornets,NBA,14,8.4,.459,.500,1.5,0.5,0.1,0.3,2.9,10.0,0.1,.051,-3.4,0.0,,150000
tolbeto01,1989-90,24,GSW,NBA,70,19.2,.493,.726,5.2,0.8,0.3,0.4,8.8,13.8,2.5,.091,-3.0,-0.3,,
tolbeto01,1990-91,25,Golden State Warriors,NBA,62,22.1,.423,.738,4.4,1.2,0.6,0.6,8.1,10.1,1.3,.045,-3.0,-0.4,,405000
tolbeto01,1991-92,26,Golden State Warriors,NBA,35,8.9,.384,.550,1.6,0.6,0.3,0.2,2.6,5.3,0.0,-0.005,-5.4,-0.3,,506000
tolbeto01,1992-93,27,Golden State Warriors,NBA,72,25.5,.498,.726,5.7,1.3,0.5,0.3,8.1,10.4,2.7,.071,-1.0,0.4,,606000
tolbeto01,1993-94,28,Los Angeles Clippers,NBA,49,13.1,.418,.733,2.2,0.6,0.3,0.3,3.8,7.9,0.0,.000,-5.5,-0.6,,650000
tolbeto01,1994-95,29,Charlotte Hornets,NBA,10,5.7,.333,1.000,1.7,0.2,0.0,0.0,1.4,5.6,0.0,-0.015,-8.6,-0.1,,325000
