name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",-2.45,-0.24,gordoer01,2008-09,LAC,14.9,4.6,.082,-0.4,1.1,,NBA,2623200,20,78,34.3,.456,.854,2.6,2.8,1.0,0.4,16.1,LAC
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",-1.25,1.58,gordoer01,2009-10,LAC,14.1,3.2,.069,-0.5,0.9,,NBA,2819880,21,62,36.0,.449,.742,2.6,3.0,1.1,0.2,16.9,LAC
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",+1.03,4.70,gordoer01,2010-11,LAC,18.5,5.3,.120,1.3,1.7,,NBA,3016680,22,56,37.7,.450,.825,2.9,4.4,1.3,0.3,22.3,LAC
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",+1.54,0.80,gordoer01,2011-12,NOH,19.2,0.7,.115,0.3,0.2,,NBA,3831184,23,9,34.4,.450,.754,2.8,3.4,1.4,0.4,20.6,NOH
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",-0.06,1.89,gordoer01,2012-13,NOH,15.4,1.1,.042,-2.6,-0.2,,NBA,13668750,24,42,30.1,.402,.842,1.8,3.3,1.1,0.2,17.0,NOH
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",-2.77,-0.60,gordoer01,2013-14,NOP,14.9,2.5,.058,-1.2,0.4,,NBA,14283844,25,64,32.1,.436,.785,2.6,3.3,1.2,0.2,15.4,NOP
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",-1.40,1.27,gordoer01,2014-15,NOP,12.7,2.9,.069,-0.6,0.7,,NBA,14898938,26,61,33.1,.411,.805,2.6,3.8,0.8,0.2,13.4,NOP
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",-0.40,1.88,gordoer01,2015-16,NOP,13.5,2.1,.069,-0.6,0.5,,NBA,15514031,27,45,32.9,.418,.888,2.2,2.7,1.0,0.3,15.2,NOP
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",+0.08,4.28,gordoer01,2016-17,HOU,13.2,3.8,.079,-1.4,0.4,,NBA,12385364,28,75,31.0,.406,.840,2.7,2.5,0.6,0.5,16.2,HOU
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",+2.26,8.10,gordoer01,2017-18,HOU,15.2,4.7,.105,-1.0,0.5,,NBA,12943020,29,69,31.2,.428,.809,2.5,2.2,0.6,0.4,18.0,HOU
Eric Gordon,/players/g/gordoer01.html,2009,2019,Indiana University,true,"North Central in Indianapolis, Indiana",,,gordoer01,2018-19,HOU,9.8,-0.1,-0.027,-5.0,-0.1,,NBA,,30,4,33.5,.348,1.000,3.3,1.8,0.3,0.8,15.5,HOU
