bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
bingda01,1966-67,23,DET,NBA,80,34.5,.436,,.436,.436,.738,4.5,4.1,,,20.0,16.5,5.3,.092,,,
bingda01,1967-68,24,DET,NBA,79,40.6,.441,,.441,.441,.707,4.7,6.4,,,27.1,18.5,6.2,.093,,,All-NBA (1st)
bingda01,1968-69,25,DET,NBA,77,39.5,.425,,.425,.425,.713,5.0,7.1,,,23.4,17.8,4.5,.071,,,
bingda01,1969-70,26,DET,NBA,70,33.3,.444,,.444,.444,.783,4.3,6.0,,,22.9,21.3,5.3,.109,,,
bingda01,1970-71,27,DET,NBA,82,37.4,.467,,.467,.467,.797,4.4,5.0,,,27.0,22.5,11.7,.183,,,All-NBA (1st)
bingda01,1971-72,28,DET,NBA,45,43.0,.414,,.414,.414,.785,4.1,7.0,,,22.6,16.2,1.7,.042,,,
bingda01,1972-73,29,DET,NBA,82,41.0,.448,,.448,.448,.814,3.6,7.8,,,22.4,18.3,8.6,.123,,,
bingda01,1973-74,30,DET,NBA,81,38.6,.436,,.436,.436,.813,3.5,6.9,1.3,0.2,18.8,16.4,7.3,.113,1.3,2.6,All-NBA (2nd)
bingda01,1974-75,31,DET,NBA,79,40.8,.434,,.434,.434,.809,3.6,7.7,1.5,0.3,19.0,17.1,5.3,.080,1.0,2.5,
bingda01,1975-76,32,WSB,NBA,82,35.9,.447,,.447,.447,.787,2.9,6.0,1.4,0.3,16.2,16.0,6.3,.102,1.3,2.5,
bingda01,1976-77,33,WSB,NBA,64,23.7,.454,,.454,.454,.773,2.2,4.3,1.0,0.1,10.6,15.3,2.9,.092,0.1,0.8,
bingda01,1977-78,34,BOS,NBA,80,28.2,.449,,.449,.449,.824,2.7,3.8,1.0,0.2,13.6,13.4,3.6,.076,-1.7,0.2,
