bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,Award
bogutan01,2005-06,21,MIL,NBA,82,28.6,.533,.000,.536,.533,.629,7.0,2.3,0.6,0.8,9.4,
bogutan01,2006-07,22,MIL,NBA,66,34.2,.553,.200,.556,.554,.577,8.8,3.0,0.7,0.5,12.3,
bogutan01,2007-08,23,MIL,NBA,78,34.9,.511,.000,.515,.511,.587,9.8,2.6,0.8,1.7,14.3,
bogutan01,2008-09,24,MIL,NBA,36,31.2,.577,,.577,.577,.571,10.3,2.0,0.6,1.0,11.7,
bogutan01,2009-10,25,MIL,NBA,69,32.3,.520,.000,.521,.520,.629,10.2,1.8,0.6,2.5,15.9,All-NBA (3rd)
bogutan01,2010-11,26,MIL,NBA,65,35.3,.495,.000,.497,.495,.442,11.1,2.0,0.7,2.6,12.8,
bogutan01,2011-12,27,MIL,NBA,12,30.3,.449,.000,.452,.449,.609,8.3,2.6,1.0,2.0,11.3,
bogutan01,2012-13,28,GSW,NBA,32,24.6,.451,1.000,.448,.454,.500,7.7,2.1,0.6,1.7,5.8,
bogutan01,2013-14,29,GSW,NBA,67,26.4,.627,,.627,.627,.344,10.0,1.7,0.7,1.8,7.3,
bogutan01,2014-15,30,GSW,NBA,67,23.6,.563,,.563,.563,.524,8.1,2.7,0.6,1.7,6.3,
bogutan01,2015-16,31,GSW,NBA,70,20.7,.627,1.000,.626,.629,.480,7.0,2.3,0.5,1.6,5.4,
bogutan01,2016-17,32,"DAL,CLE",NBA,27,21.6,.469,.000,.475,.469,.273,8.1,1.8,0.5,0.9,2.9,
