bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
cowenda01,1970-71,22,BOS,NBA,81,38.0,.422,,.422,.422,.732,15.0,2.8,,,17.0,15.4,6.4,.100,,,
cowenda01,1971-72,23,BOS,NBA,79,40.3,.484,,.484,.484,.720,15.2,3.1,,,18.8,17.1,10.4,.156,,,
cowenda01,1972-73,24,BOS,NBA,82,41.8,.452,,.452,.452,.779,16.2,4.1,,,20.5,18.1,12.0,.168,,,All-NBA (2nd)
cowenda01,1973-74,25,BOS,NBA,80,41.9,.437,,.437,.437,.832,15.7,4.4,1.2,1.3,19.0,16.6,9.3,.134,2.6,3.9,
cowenda01,1974-75,26,BOS,NBA,65,40.5,.475,,.475,.475,.783,14.7,4.6,1.3,1.1,20.4,19.3,9.5,.173,4.9,4.6,All-NBA (2nd)
cowenda01,1975-76,27,BOS,NBA,78,39.8,.468,,.468,.468,.756,16.0,4.2,1.2,0.9,19.0,18.9,10.7,.165,5.0,5.5,All-NBA (2nd)
cowenda01,1976-77,28,BOS,NBA,50,37.8,.434,,.434,.434,.818,13.9,5.0,0.9,1.0,16.4,16.8,4.4,.113,3.4,2.6,
cowenda01,1977-78,29,BOS,NBA,77,41.8,.490,,.490,.490,.842,14.0,4.6,1.3,0.9,18.6,18.6,10.8,.162,4.4,5.2,
cowenda01,1978-79,30,BOS,NBA,68,37.0,.483,,.483,.483,.807,9.6,3.6,1.1,0.8,16.6,15.2,4.8,.091,1.1,2.0,
cowenda01,1979-80,31,BOS,NBA,66,32.7,.453,.083,.458,.453,.779,8.1,3.1,1.0,0.9,14.2,14.8,5.4,.121,1.4,1.8,
cowenda01,1980-81,32,Did Not Play (retired),,,,,,,,,,,,,,,,,,,
cowenda01,1981-82,33,Did Not Play (retired),,,,,,,,,,,,,,,,,,,
cowenda01,1982-83,34,MIL,NBA,40,25.4,.444,.000,.447,.444,.825,6.9,2.1,0.8,0.4,8.1,12.6,2.6,.123,0.5,0.6,
