bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,HS,Salary
johnscl01,1978-79,22,POR,NBA,74,10.7,.470,.486,3.1,1.1,0.3,0.5,3.2,12.1,1.2,.070,-1.0,0.2,,"Florida A&M University High School in Tallahassee, Florida",
johnscl01,1979-80,23,IND,NBA,79,19.5,.503,.632,5.0,1.5,0.6,1.5,6.0,13.9,3.5,.109,0.6,1.0,,"Florida A&M University High School in Tallahassee, Florida",
johnscl01,1980-81,24,IND,NBA,81,20.3,.504,.593,5.8,1.8,0.5,1.5,7.2,15.6,3.7,.108,1.5,1.5,,"Florida A&M University High School in Tallahassee, Florida",
johnscl01,1981-82,25,IND,NBA,79,25.1,.487,.651,7.2,1.6,0.8,1.4,9.5,15.0,4.0,.098,0.8,1.4,,"Florida A&M University High School in Tallahassee, Florida",
johnscl01,1982-83,26,"IND,PHI",NBA,83,23.1,.515,.617,6.3,1.7,0.8,1.1,8.5,15.3,4.3,.109,1.1,1.5,,"Florida A&M University High School in Tallahassee, Florida",
johnscl01,1983-84,27,PHI,NBA,80,21.5,.468,.611,5.0,0.7,0.4,0.8,5.7,9.1,2.2,.060,-2.4,-0.2,,"Florida A&M University High School in Tallahassee, Florida",
johnscl01,1984-85,28,Philadelphia 76ers,NBA,58,15.1,.498,.735,3.8,0.6,0.3,0.8,4.7,11.9,1.7,.095,-0.9,0.3,,"Florida A&M University High School in Tallahassee, Florida",406000
johnscl01,1985-86,29,Philadelphia 76ers,NBA,75,14.3,.471,.630,3.4,0.2,0.3,0.8,3.5,10.4,2.0,.088,-2.1,0.0,,"Florida A&M University High School in Tallahassee, Florida",412000
johnscl01,1986-87,30,SEA,NBA,78,13.5,.494,.636,3.6,0.3,0.3,0.5,3.2,10.0,2.0,.089,-2.3,-0.1,,"Florida A&M University High School in Tallahassee, Florida",
johnscl01,1987-88,31,Seattle SuperSonics,NBA,74,9.8,.467,.688,2.4,0.2,0.2,0.3,1.6,7.1,0.9,.061,-2.9,-0.2,,"Florida A&M University High School in Tallahassee, Florida",502000
