bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
favorde01,2010-11,19,Utah Jazz,NBA,78,19.7,.517,.595,5.3,0.5,0.4,0.9,6.8,13.8,2.9,.091,-2.1,0.0,,4133280
favorde01,2010-11,19,Utah Jazz,NBA,56,19.5,.511,.612,5.3,0.4,0.3,0.7,6.3,12.6,1.9,.083,-2.7,-0.2,,4133280
favorde01,2010-11,19,Utah Jazz,NBA,22,20.2,.529,.561,5.2,0.8,0.5,1.2,8.2,16.8,1.0,.110,-0.7,0.1,,4133280
favorde01,2011-12,20,Utah Jazz,NBA,65,21.2,.499,.649,6.5,0.7,0.6,1.0,8.8,17.1,3.0,.105,-0.8,0.4,,4443360
favorde01,2012-13,21,Utah Jazz,NBA,77,23.2,.482,.688,7.1,1.0,0.9,1.7,9.4,17.5,4.4,.117,1.1,1.4,,4753320
favorde01,2013-14,22,Utah Jazz,NBA,73,30.2,.522,.669,8.7,1.2,1.0,1.5,13.3,19.0,5.1,.112,0.7,1.5,,6008196
favorde01,2014-15,23,Utah Jazz,NBA,74,30.8,.525,.669,8.2,1.5,0.8,1.7,16.0,21.8,8.3,.175,2.4,2.6,,12833333
favorde01,2015-16,24,Utah Jazz,NBA,62,32.0,.515,.709,8.1,1.5,1.2,1.5,16.4,21.6,7.1,.173,2.7,2.3,,11933333
favorde01,2016-17,25,Utah Jazz,NBA,50,23.7,.487,.615,6.1,1.1,0.9,0.8,9.5,15.8,2.7,.109,-0.1,0.6,,11050000
favorde01,2017-18,26,UTA,NBA,76,28.0,.563,.648,7.2,1.3,0.7,1.0,12.3,18.7,7.9,.178,2.6,2.5,,
