name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",-1.77,0.66,brandte01,1991-92,CLE,12.8,0.9,.028,-3.0,-0.4,,NBA,525000,21,82,19.6,.419,.806,2.0,3.9,1.0,0.3,7.4,CLE
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",+0.46,3.24,brandte01,1992-93,CLE,16.7,3.9,.117,-0.2,0.7,,NBA,682000,22,82,19.8,.478,.825,2.2,3.7,1.0,0.3,8.8,CLE
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",-0.07,2.40,brandte01,1993-94,CLE,15.0,2.9,.091,-1.0,0.4,,NBA,840000,23,73,21.2,.420,.858,2.2,3.8,1.2,0.2,8.3,CLE
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",+1.57,5.14,brandte01,1994-95,CLE,18.7,5.6,.137,2.5,2.2,,NBA,997000,24,67,29.3,.448,.855,2.8,5.4,1.6,0.2,13.3,CLE
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",+4.13,11.38,brandte01,1995-96,CLE,25.2,12.7,.237,6.0,5.2,,NBA,1155000,25,75,34.3,.465,.887,3.3,6.5,1.8,0.4,19.3,CLE
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",+3.33,10.97,brandte01,1996-97,CLE,21.5,10.8,.181,4.6,4.8,,NBA,1312000,26,78,36.8,.438,.902,3.9,6.3,1.8,0.4,19.5,CLE
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",+1.98,5.18,brandte01,1997-98,MIL,20.2,5.1,.136,3.0,2.2,,NBA,1469440,27,50,35.7,.464,.846,3.5,7.7,2.2,0.3,16.8,MIL
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",+1.62,3.70,brandte01,1998-99,TOT,19.5,3.2,.126,1.8,1.2,,NBA,6300000,28,36,33.8,.418,.833,3.7,8.6,1.8,0.3,13.9,"MIL,MIN"
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",+3.01,9.87,brandte01,1999-00,MIN,20.8,8.6,.159,2.9,3.2,,NBA,7400000,29,71,36.4,.466,.899,3.4,8.9,1.9,0.4,17.1,MIN
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",+1.59,7.91,brandte01,2000-01,MIN,20.0,8.5,.145,2.5,3.2,,NBA,8330000,30,78,36.2,.451,.871,3.8,7.5,2.1,0.3,16.0,MIN
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,false,"Grant in Portland, Oregon",+2.09,2.88,brandte01,2001-02,MIN,21.2,3.7,.186,2.1,1.0,,NBA,9300000,31,32,30.1,.425,.988,2.9,8.3,1.6,0.2,12.4,MIN
