bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
coleno01,2011-12,23,MIA,NBA,65,19.4,.393,.276,.417,.417,.776,1.4,2.0,0.7,0.0,6.8,7.9,0.0,.000,-5.9,-1.2,
coleno01,2012-13,24,MIA,NBA,80,19.9,.421,.357,.440,.462,.650,1.6,2.1,0.7,0.1,5.6,7.9,0.6,.019,-4.5,-1.0,
coleno01,2013-14,25,MIA,NBA,82,24.6,.414,.345,.451,.474,.779,2.0,3.0,0.9,0.1,6.4,8.8,1.2,.029,-3.0,-0.5,
coleno01,2014-15,26,"MIA,NOP",NBA,75,24.4,.412,.313,.458,.461,.716,2.1,3.4,0.8,0.2,7.6,10.9,1.4,.036,-3.0,-0.5,
coleno01,2015-16,27,NOP,NBA,45,26.6,.405,.324,.427,.439,.800,3.4,3.7,0.8,0.1,10.6,10.8,-0.1,-0.004,-3.7,-0.5,
coleno01,2016-17,28,OKC,NBA,13,9.6,.308,.231,.333,.337,.800,0.8,1.1,0.6,0.0,3.3,5.4,-0.1,-0.033,-8.2,-0.2,
