bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
marinja01,1966-67,22,BAL,NBA,74,17.9,.448,.775,4.2,1.0,,,9.6,14.4,2.5,.090,,
marinja01,1967-68,23,BAL,NBA,82,24.8,.460,.796,5.8,1.3,,,13.5,15.9,5.4,.126,,
marinja01,1968-69,24,BAL,NBA,82,33.0,.455,.830,7.4,2.8,,,15.9,15.8,8.5,.151,,
marinja01,1969-70,25,BAL,NBA,82,35.9,.489,.844,6.5,2.6,,,19.7,16.0,8.3,.136,,
marinja01,1970-71,26,BAL,NBA,82,35.6,.460,.848,6.3,2.6,,,18.8,15.7,7.5,.123,,
marinja01,1971-72,27,BAL,NBA,78,37.5,.478,.894,6.8,2.2,,,22.3,18.2,9.1,.149,,
marinja01,1972-73,28,HOU,NBA,81,37.3,.468,.849,6.2,3.6,,,18.5,15.1,6.1,.098,,
marinja01,1973-74,29,"HOU,BUF",NBA,74,24.1,.501,.855,3.1,2.3,0.6,0.4,11.7,14.4,3.6,.097,-2.2,-0.1
marinja01,1974-75,30,BUF,NBA,81,26.5,.455,.869,4.5,1.6,0.6,0.2,11.8,12.8,3.9,.087,-2.3,-0.2
marinja01,1975-76,31,"BUF,CHI",NBA,79,24.2,.422,.856,3.2,1.8,0.6,0.1,10.7,12.7,3.1,.077,-2.9,-0.4
marinja01,1976-77,32,CHI,NBA,54,16.1,.465,.795,1.7,1.1,0.2,0.1,6.8,11.1,1.3,.073,-5.1,-0.7
