bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,HS
carribo01,1977-78,24,"NJN,IND",NBA,72,23.0,.430,.760,2.4,1.6,0.9,0.3,8.8,9.7,1.3,.038,-2.8,-0.3,,"Archbishop Williams in Braintree, Massachusetts"
carribo01,1978-79,25,Did Not Play,,,,,,,,,,,,,,,,,"Archbishop Williams in Braintree, Massachusetts"
carribo01,1979-80,26,SDC,NBA,10,13.4,.405,.750,1.3,0.3,0.4,0.1,3.6,5.9,0.0,.001,-6.1,-0.1,,"Archbishop Williams in Braintree, Massachusetts"
