bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
silasja01,1972-73,23,DLC,ABA,78,31.0,.502,,.502,.502,.833,4.3,3.1,,,13.7,14.5,7.4,.147,,,
silasja01,1973-74,24,SAA,ABA,84,36.9,.478,.000,.478,.478,.831,4.1,3.8,1.1,0.1,15.7,14.6,7.9,.123,1.2,2.5,
silasja01,1974-75,25,SAA,ABA,82,37.9,.509,.000,.510,.509,.885,3.8,4.9,1.4,0.2,19.3,17.2,9.8,.152,2.2,3.3,All-ABA (2nd)
silasja01,1975-76,26,SAA,ABA,84,37.0,.519,.000,.520,.519,.872,4.0,5.4,1.8,0.3,23.8,21.2,13.1,.202,3.8,4.5,All-ABA (1st)
silasja01,1976-77,27,SAS,NBA,22,16.2,.430,,.430,.430,.813,1.5,2.3,0.6,0.1,9.5,17.1,0.7,.099,-2.4,0.0,
silasja01,1977-78,28,SAS,NBA,37,8.4,.443,,.443,.443,.822,0.6,1.0,0.3,0.0,3.9,13.3,0.6,.095,-4.5,-0.2,
silasja01,1978-79,29,SAS,NBA,79,27.5,.505,,.505,.505,.831,2.3,3.5,1.0,0.3,16.0,16.0,5.7,.126,-1.0,0.5,
silasja01,1979-80,30,SAS,NBA,77,29.8,.514,.000,.516,.514,.887,2.2,4.5,0.8,0.2,17.7,16.7,5.5,.116,-1.3,0.4,
silasja01,1980-81,31,SAS,NBA,75,27.4,.477,.000,.478,.477,.850,3.1,3.8,0.7,0.2,17.7,19.4,7.0,.164,-0.3,0.9,
silasja01,1981-82,32,CLE,NBA,67,21.6,.438,.000,.442,.438,.860,1.6,3.3,0.6,0.1,11.2,15.7,2.4,.078,-2.8,-0.3,
