bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
mengejo01,1971-72,22,CIN,NBA,78,18.4,.474,,.474,.474,.825,1.9,1.9,,,10.0,15.8,3.7,.124,,
mengejo01,1972-73,23,"KCO,DET",NBA,79,20.8,.492,,.492,.492,.794,2.3,1.9,,,9.7,14.1,3.9,.114,,
mengejo01,1973-74,24,DET,NBA,77,20.2,.446,,.446,.446,.795,2.7,1.9,0.9,0.1,8.8,13.8,3.5,.108,-1.3,0.3
mengejo01,1974-75,25,DET,NBA,80,24.9,.479,,.479,.479,.851,2.4,2.5,0.9,0.1,11.0,14.7,4.0,.095,-1.5,0.3
mengejo01,1975-76,26,DET,NBA,67,16.5,.489,,.489,.489,.810,1.7,1.6,0.6,0.1,10.7,19.4,3.2,.140,0.1,0.6
mengejo01,1976-77,27,CHI,NBA,61,19.3,.456,,.456,.456,.788,1.8,1.9,0.6,0.1,8.3,12.9,2.3,.092,-3.0,-0.3
mengejo01,1977-78,28,CHI,NBA,81,21.8,.481,,.481,.481,.773,1.6,2.9,0.6,0.0,10.3,14.5,3.9,.105,-2.4,-0.2
mengejo01,1978-79,29,CHI,NBA,75,22.7,.491,,.491,.491,.824,1.6,2.5,0.6,0.1,11.0,13.2,3.0,.084,-3.4,-0.6
mengejo01,1979-80,30,CHI,NBA,36,10.8,.542,.000,.563,.542,.796,0.6,1.1,0.3,0.0,6.1,13.4,0.6,.070,-5.5,-0.3
mengejo01,1980-81,31,GSW,NBA,2,5.5,.000,,.000,.000,,0.0,1.0,0.0,0.0,0.0,-5.9,-0.1,-0.247,-21.5,-0.1
