bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary,HS
farmeji01,1987-88,23,Dallas Mavericks,NBA,30,5.2,.377,.900,0.6,0.5,0.1,0.0,2.0,4.4,-0.4,-0.111,-9.5,-0.3,,175000,"Houston Academy in Dothan, Alabama"
farmeji01,1988-89,24,UTA,NBA,37,11.1,.401,.707,1.5,0.8,0.2,0.0,4.1,8.4,0.4,.045,-3.9,-0.2,,,"Houston Academy in Dothan, Alabama"
farmeji01,1989-90,25,SEA,NBA,38,10.5,.438,.713,1.1,0.7,0.4,0.0,6.4,15.5,0.7,.087,-3.3,-0.1,,,"Houston Academy in Dothan, Alabama"
farmeji01,1990-91,26,"PHI,DEN",NBA,27,16.9,.453,.738,2.5,1.4,0.5,0.1,9.4,12.2,0.1,.010,-5.4,-0.4,,,"Houston Academy in Dothan, Alabama"
farmeji01,1991-92,27,Did Not Play (other pro league—CBA),,,,,,,,,,,,,,,,,,"Houston Academy in Dothan, Alabama"
farmeji01,1992-93,28,"Did Not Play (other pro league—CBA, Italy)",,,,,,,,,,,,,,,,,,"Houston Academy in Dothan, Alabama"
farmeji01,1993-94,29,DEN,NBA,4,7.3,.333,,0.5,1.0,0.0,0.0,1.0,-3.7,-0.1,-0.210,-14.3,-0.1,,,"Houston Academy in Dothan, Alabama"
