bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
awtrede01,1970-71,22,PHI,NBA,70,18.5,.475,,.475,.475,.662,6.1,1.3,,,7.2,13.5,3.1,.114,,
awtrede01,1971-72,23,PHI,NBA,58,13.7,.441,,.441,.441,.645,4.3,0.9,,,4.2,10.3,1.0,.060,,
awtrede01,1972-73,24,"PHI,CHI",NBA,82,20.6,.479,,.479,.479,.562,5.5,2.7,,,4.6,12.1,5.0,.141,,
awtrede01,1973-74,25,CHI,NBA,68,11.1,.528,,.528,.528,.574,2.6,1.3,0.3,0.2,2.7,11.4,1.4,.091,0.3,0.4
awtrede01,1974-75,26,PHO,NBA,82,34.6,.470,,.470,.470,.677,8.6,4.2,0.7,0.6,9.9,13.5,5.2,.087,1.3,2.4
awtrede01,1975-76,27,PHO,NBA,74,18.6,.467,,.467,.467,.688,4.0,2.1,0.3,0.3,4.9,11.2,1.8,.062,-2.1,0.0
awtrede01,1976-77,28,PHO,NBA,72,24.4,.429,,.429,.429,.722,4.9,2.5,0.3,0.4,5.7,9.6,2.1,.057,-2.0,0.0
awtrede01,1977-78,29,PHO,NBA,81,20.0,.424,,.424,.424,.633,3.7,2.0,0.2,0.3,3.6,6.1,1.0,.030,-2.8,-0.3
awtrede01,1978-79,30,"BOS,SEA",NBA,63,11.8,.411,,.411,.411,.732,2.4,1.1,0.3,0.2,2.0,6.7,0.7,.046,-2.7,-0.1
awtrede01,1979-80,31,CHI,NBA,26,21.5,.450,,.450,.450,.640,4.4,1.5,0.5,0.6,3.3,7.4,0.6,.053,-1.4,0.1
awtrede01,1980-81,32,SEA,NBA,47,12.9,.473,,.473,.473,.700,2.3,1.1,0.3,0.2,2.2,6.7,0.6,.047,-2.6,-0.1
awtrede01,1981-82,33,POR,NBA,10,12.1,.333,,.333,.333,.556,1.4,0.8,0.1,0.2,1.5,1.6,0.0,-0.013,-4.9,-0.1
