bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary,HS
delfica01,2004-05,22,Detroit Pistons,NBA,30,15.3,.359,.575,1.8,1.3,0.7,0.2,3.9,8.6,0.5,.048,-2.3,0.0,,901920,
delfica01,2005-06,23,Detroit Pistons,NBA,68,10.7,.403,.672,1.7,0.6,0.3,0.2,3.6,10.6,1.0,.067,-3.1,-0.2,,969696,
delfica01,2006-07,24,Detroit Pistons,NBA,82,16.7,.415,.787,3.2,1.1,0.6,0.1,5.2,12.8,2.9,.101,-0.4,0.6,,1037280,
delfica01,2007-08,25,Toronto Raptors,NBA,82,23.5,.397,.744,4.4,1.8,0.8,0.1,9.0,13.6,4.0,.100,1.3,1.6,,1868141,
delfica01,2008-09,26,Did Not Play (other pro league—Russia),,,,,,,,,,,,,,,,,,
delfica01,2009-10,27,Milwaukee Bucks,NBA,75,30.4,.408,.782,5.3,2.7,1.1,0.3,11.0,12.9,4.8,.101,1.6,2.1,,3500000,
delfica01,2010-11,28,Milwaukee Bucks,NBA,49,32.4,.390,.800,4.1,2.3,1.6,0.2,11.5,13.1,3.5,.105,2.1,1.6,,3500000,
delfica01,2011-12,29,Milwaukee Bucks,NBA,54,28.5,.402,.792,3.9,2.3,1.5,0.2,9.0,11.7,2.4,.075,0.7,1.1,,3500000,
delfica01,2012-13,30,Houston Rockets,NBA,67,25.2,.405,.857,3.3,2.0,1.0,0.1,10.6,13.3,3.5,.101,1.2,1.3,,3000000,
