bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
drexlcl01,1983-84,21,POR,NBA,82,17.2,.451,.728,2.9,1.9,1.3,0.4,7.7,14.5,2.4,.083,0.9,1.0,,
drexlcl01,1984-85,22,Portland Trail Blazers,NBA,80,31.9,.494,.759,6.0,5.5,2.2,0.9,17.2,19.7,7.5,.141,5.2,4.6,,175000
drexlcl01,1985-86,23,Portland Trail Blazers,NBA,75,34.3,.475,.769,5.6,8.0,2.6,0.6,18.5,19.8,6.7,.124,5.1,4.6,,420000
drexlcl01,1986-87,24,POR,NBA,82,38.0,.502,.760,6.3,6.9,2.5,0.9,21.7,20.2,10.3,.158,5.7,6.0,,
drexlcl01,1987-88,25,Portland Trail Blazers,NBA,81,37.8,.506,.811,6.6,5.8,2.5,0.6,27.0,24.1,13.2,.207,7.4,7.3,All-NBA (2nd),350000
drexlcl01,1988-89,26,Portland Trail Blazers,NBA,78,39.3,.496,.799,7.9,5.8,2.7,0.7,27.2,23.6,12.6,.197,7.3,7.2,,1200000
drexlcl01,1989-90,27,Portland Trail Blazers,NBA,73,36.8,.494,.774,6.9,5.9,2.0,0.7,23.3,22.2,11.6,.208,7.9,6.6,All-NBA (3rd),1100000
drexlcl01,1990-91,28,Portland Trail Blazers,NBA,82,34.8,.482,.794,6.7,6.0,1.8,0.7,21.5,22.1,12.4,.209,7.3,6.7,All-NBA (2nd),1180000
drexlcl01,1991-92,29,Portland Trail Blazers,NBA,76,36.2,.470,.794,6.6,6.7,1.8,0.9,25.0,23.6,12.8,.223,8.4,7.2,All-NBA (1st),1378000
drexlcl01,1992-93,30,Portland Trail Blazers,NBA,49,34.1,.429,.839,6.3,5.7,1.9,0.8,19.9,20.7,6.0,.171,6.1,3.4,,1378000
drexlcl01,1993-94,31,Portland Trail Blazers,NBA,68,34.3,.428,.777,6.5,4.9,1.4,0.5,19.2,18.4,6.8,.140,3.9,3.5,,1578000
drexlcl01,1994-95,32,Portland Trail Blazers,NBA,76,35.9,.461,.824,6.3,4.8,1.8,0.6,21.8,22.4,11.7,.206,6.5,5.9,All-NBA (3rd),1578000
drexlcl01,1994-95,32,Portland Trail Blazers,NBA,41,34.8,.428,.835,5.7,5.1,1.8,0.5,22.0,22.7,6.5,.217,7.3,3.4,All-NBA (3rd),1578000
drexlcl01,1994-95,32,Portland Trail Blazers,NBA,35,37.1,.506,.809,7.0,4.4,1.8,0.7,21.4,22.1,5.2,.193,5.7,2.5,All-NBA (3rd),1578000
drexlcl01,1995-96,33,Houston Rockets,NBA,52,38.4,.433,.784,7.2,5.8,2.0,0.5,19.3,20.0,6.7,.161,4.7,3.4,,9810000
drexlcl01,1996-97,34,Houston Rockets,NBA,62,36.6,.442,.750,6.0,5.7,1.9,0.6,18.0,19.9,8.1,.172,5.6,4.3,,5500000
drexlcl01,1997-98,35,Houston Rockets,NBA,70,35.3,.427,.801,4.9,5.5,1.8,0.6,18.4,19.8,6.8,.133,4.1,3.8,,5500000
