bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
whiteja01,1998-99,22,WAS,NBA,20,9.6,.531,.429,2.9,0.1,0.2,0.6,2.5,9.4,0.2,.039,-6.5,-0.2,
whiteja01,1999-00,23,WAS,NBA,80,19.2,.507,.536,6.9,0.2,0.4,1.0,7.1,15.7,3.2,.101,-3.8,-0.7,
whiteja01,2000-01,24,WAS,NBA,68,23.7,.498,.567,7.7,0.3,0.5,1.6,8.6,14.7,2.1,.061,-4.0,-0.8,
whiteja01,2001-02,25,WAS,NBA,71,19.0,.538,.539,6.3,0.2,0.4,1.1,5.4,14.9,3.3,.118,-2.0,0.0,
whiteja01,2002-03,26,WAS,NBA,16,14.4,.472,.680,4.6,0.1,0.1,0.8,4.2,14.8,0.6,.134,-4.0,-0.1,
whiteja01,2003-04,27,"WAS,PHO",NBA,62,14.0,.521,.500,4.2,0.1,0.4,0.8,4.2,11.8,1.2,.064,-4.9,-0.6,
whiteja01,2004-05,28,CHA,NBA,17,7.9,.452,.350,2.0,0.1,0.1,0.7,2.5,6.8,-0.1,-0.046,-8.5,-0.2,
