person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag
76001,"Abdelnaby, Alaa",Alaa Abdelnaby,0,1990,1994,HISTADD_alaa_abdelnaby,0,,,,,Y
76002,"Abdul-Aziz, Zaid",Zaid Abdul-Aziz,0,1968,1977,HISTADD_zaid_abdul-aziz,0,,,,,Y
76003,"Abdul-Jabbar, Kareem",Kareem Abdul-Jabbar,0,1969,1988,HISTADD_kareem_abdul-jabbar,0,,,,,Y
51,"Abdul-Rauf, Mahmoud",Mahmoud Abdul-Rauf,0,1990,2000,mahmoud_abdul-rauf,0,,,,,Y
1505,"Abdul-Wahad, Tariq",Tariq Abdul-Wahad,0,1997,2003,tariq_abdul-wahad,0,,,,,Y
949,"Abdur-Rahim, Shareef",Shareef Abdur-Rahim,0,1996,2007,shareef_abdur-rahim,0,,,,,Y
76005,"Abernethy, Tom",Tom Abernethy,0,1976,1980,HISTADD_tom_abernethy,0,,,,,Y
203518,"Abrines, Alex",Alex Abrines,0,2016,2017,alex_abrines,0,,,,,Y
101165,"Acker, Alex",Alex Acker,0,2005,2008,alex_acker,0,,,,,Y
76009,"Acres, Mark",Mark Acres,0,1987,1992,HISTADD_mark_acres,0,,,,,Y
203112,"Acy, Quincy",Quincy Acy,1,2012,2017,quincy_acy,1610612758,Sacramento,Kings,SAC,kings,Y
76011,"Adams, Alvan",Alvan Adams,0,1975,1987,HISTADD_alvan_adams,0,,,,,Y
76012,"Adams, Don",Don Adams,0,1970,1976,HISTADD_don_adams,0,,,,,Y
200801,"Adams, Hassan",Hassan Adams,0,2006,2008,hassan_adams,0,,,,,Y
203919,"Adams, Jordan",Jordan Adams,1,2014,2015,jordan_adams,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
149,"Adams, Michael",Michael Adams,0,1985,1995,michael_adams,0,,,,,Y
203500,"Adams, Steven",Steven Adams,1,2013,2017,steven_adams,1610612760,Oklahoma City,Thunder,OKC,thunder,Y
912,"Addison, Rafael",Rafael Addison,0,1986,1996,rafael_addison,0,,,,,Y
1628389,"Adebayo, Bam",Bam Adebayo,0,2017,2017,bam_adebayo,0,,,,,Y
202399,"Adrien, Jeff",Jeff Adrien,0,2010,2014,jeff_adrien,0,,,,,Y
201167,"Afflalo, Arron",Arron Afflalo,1,2007,2017,arron_afflalo,1610612752,New York,Knicks,NYK,knicks,Y
200772,"Ager, Maurice",Maurice Ager,0,2006,2010,maurice_ager,0,,,,,Y
