name,link,year_from,year_to,college,first,last,nbaID,bbrID
Danny Ainge,/players/a/aingeda01.html,1982,1995,Brigham Young University,Ainge,Danny,76017,aingeda01
Alexis Ajinca,/players/a/ajincal01.html,2009,2017,,Ajinca,Alexis,201582,ajincal01
Josh Akognon,/players/a/akognjo01.html,2013,2013,"California State University, Fullerton",Akognon,Josh,203006,akognjo01
Solomon Alabi,/players/a/alabiso01.html,2011,2012,Florida State University,Alabi,Solomon,202374,alabiso01
Mark Alarie,/players/a/alarima01.html,1987,1991,Duke University,Alarie,Mark,76019,alarima01
Furkan Aldemir,/players/a/aldemfu01.html,2015,2015,,Aldemir,Furkan,203128,aldemfu01
Cole Aldrich,/players/a/aldrico01.html,2011,2017,University of Kansas,Aldrich,Cole,202332,aldrico01
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2017,University of Texas at Austin,Aldridge,LaMarcus,200746,aldrila01
Chuck Aleksinas,/players/a/aleksch01.html,1985,1985,University of Connecticut,Aleksinas,Chuck,76021,aleksch01
Cliff Alexander,/players/a/alexacl01.html,2016,2016,University of Kansas,Alexander,Cliff,1626146,alexacl01
Cory Alexander,/players/a/alexaco01.html,1996,2005,University of Virginia,Alexander,Cory,724,alexaco01
Courtney Alexander,/players/a/alexaco02.html,2001,2003,"California State University, Fresno",Alexander,Courtney,2042,alexaco02
Gary Alexander,/players/a/alexaga01.html,1994,1994,University of South Florida,Alexander,Gary,76022,alexaga01
Joe Alexander,/players/a/alexajo01.html,2009,2010,West Virginia University,Alexander,Joe,201570,alexajo01
Victor Alexander,/players/a/alexavi01.html,1992,2002,Iowa State University,Alexander,Victor,2349,alexavi01
Steve Alford,/players/a/alforst01.html,1988,1991,Indiana University,Alford,Steve,76024,alforst01
Jerome Allen,/players/a/allenje01.html,1996,1997,University of Pennsylvania,Allen,Jerome,706,allenje01
Lavoy Allen,/players/a/allenla01.html,2012,2017,Temple University,Allen,Lavoy,202730,allenla01
Lucius Allen,/players/a/allenlu01.html,1970,1979,"University of California, Los Angeles",Allen,Lucius,76027,allenlu01
Malik Allen,/players/a/allenma01.html,2002,2011,Villanova University,Allen,Malik,2124,allenma01
Randy Allen,/players/a/allenra01.html,1989,1990,Florida State University,Allen,Randy,76025,allenra01
Ray Allen,/players/a/allenra02.html,1997,2014,University of Connecticut,Allen,Ray,951,allenra02
Tony Allen,/players/a/allento01.html,2005,2017,Oklahoma State University,Allen,Tony,2754,allento01
Lance Allred,/players/a/allrela01.html,2008,2008,Weber State University,Allred,Lance,200984,allrela01
Darrell Allums,/players/a/allumda01.html,1981,1981,"University of California, Los Angeles",Allums,Darrell,76030,allumda01
Morris Almond,/players/a/almonmo01.html,2008,2012,Rice University,Almond,Morris,201165,almonmo01
