name,link,year_from,year_to,college,first,last,nbaID,bbrID
Earl Clark,/players/c/clarkea01.html,2010,2015,University of Louisville,Clark,Earl,201947,clarkea01
Ian Clark,/players/c/clarkia01.html,2014,2017,Belmont University,Clark,Ian,203546,clarkia01
Keon Clark,/players/c/clarkke01.html,1999,2004,"University of Nevada, Las Vegas",Clark,Keon,1721,clarkke01
Coty Clarke,/players/c/clarkco01.html,2016,2016,University of Arkansas,Clarke,Coty,1626262,clarkco01
Jordan Clarkson,/players/c/clarkjo01.html,2015,2017,University of Missouri,Clarkson,Jordan,203903,clarkjo01
Victor Claver,/players/c/clavevi01.html,2013,2015,,Claver,Victor,201964,clavevi01
Charles Claxton,/players/c/claxtch01.html,1996,1996,University of Georgia,Claxton,Charles,1127,claxtch01
Speedy Claxton,/players/c/claxtsp01.html,2002,2009,Hofstra University,Claxton,Speedy,2049,claxtsp01
Jim Cleamons,/players/c/cleamji01.html,1972,1980,Ohio State University,Cleamons,Jim,76402,cleamji01
Mateen Cleaves,/players/c/cleavma01.html,2001,2006,Michigan State University,Cleaves,Mateen,2043,cleavma01
Keith Closs,/players/c/closske01.html,1998,2000,Central Connecticut State University,Closs,Keith,1569,closske01
Richard Coffey,/players/c/cofferi01.html,1991,1991,University of Minnesota,Coffey,Richard,76410,cofferi01
Fred Cofield,/players/c/cofiefr01.html,1986,1987,Eastern Michigan University,Cofield,Fred,76411,cofiefr01
John Coker,/players/c/cokerjo01.html,1996,2001,Boise State University,Coker,John,715,cokerjo01
Norris Cole,/players/c/coleno01.html,2012,2017,Cleveland State University,Cole,Norris,202708,coleno01
Ben Coleman,/players/c/colembe01.html,1987,1994,University of Maryland,Coleman,Ben,76412,colembe01
Derrick Coleman,/players/c/colemde01.html,1991,2005,Syracuse University,Coleman,Derrick,934,colemde01
E.C. Coleman,/players/c/colemec01.html,1974,1979,Houston Baptist University,Coleman,E.C.,76413,colemec01
Norris Coleman,/players/c/colemno01.html,1988,1988,Kansas State University,Coleman,Norris,76415,colemno01
Bimbo Coles,/players/c/colesbi01.html,1991,2004,Virginia Polytechnic Institute and State University,Coles,Bimbo,902,colesbi01
Jason Collier,/players/c/collija02.html,2001,2005,Georgia Institute of Technology,Collier,Jason,2044,collija02
Art Collins,/players/c/colliar01.html,1981,1981,St. Thomas University,Collins,Art,76416,colliar01
Don Collins,/players/c/collido02.html,1981,1987,Washington State University,Collins,Don,76418,collido02
Doug Collins,/players/c/collido01.html,1974,1981,Illinois State University,Collins,Doug,76421,collido01
James Collins,/players/c/collija01.html,1998,1998,Florida State University,Collins,James,1530,collija01
Jarron Collins,/players/c/collija03.html,2002,2011,Stanford University,Collins,Jarron,2260,collija03
Jason Collins,/players/c/collija04.html,2002,2014,Stanford University,Collins,Jason,2215,collija04
Mardy Collins,/players/c/collima01.html,2007,2010,Temple University,Collins,Mardy,200776,collima01
Sherron Collins,/players/c/collish01.html,2011,2011,University of Kansas,Collins,Sherron,202395,collish01
Darren Collison,/players/c/collida01.html,2010,2017,"University of California, Los Angeles",Collison,Darren,201954,collida01
Nick Collison,/players/c/collini01.html,2005,2017,University of Kansas,Collison,Nick,2555,collini01
Sean Colson,/players/c/colsose01.html,2001,2001,University of North Carolina at Charlotte,Colson,Sean,2173,colsose01
Steve Colter,/players/c/coltest01.html,1985,1995,New Mexico State University,Colter,Steve,306,coltest01
Leroy Combs,/players/c/combsle01.html,1984,1984,Oklahoma State University,Combs,Leroy,76425,combsle01
Dallas Comegys,/players/c/comegda01.html,1988,1989,DePaul University,Comegys,Dallas,76426,comegda01
Mike Conley,/players/c/conlemi01.html,2008,2017,Ohio State University,Conley,Mike,201144,conlemi01
Marty Conlon,/players/c/conloma01.html,1992,2000,Providence College,Conlon,Marty,55,conloma01
Pat Connaughton,/players/c/connapa01.html,2016,2017,University of Notre Dame,Connaughton,Pat,1626192,connapa01
Lester Conner,/players/c/connele01.html,1983,1995,Oregon State University,Conner,Lester,76431,connele01
Will Conroy,/players/c/conrowi01.html,2007,2013,University of Washington,Conroy,Will,101215,conrowi01
Anthony Cook,/players/c/cookan01.html,1991,1996,University of Arizona,Cook,Anthony,76433,cookan01
Brian Cook,/players/c/cookbr01.html,2004,2012,University of Illinois at Urbana-Champaign,Cook,Brian,2567,cookbr01
Daequan Cook,/players/c/cookda02.html,2008,2013,Ohio State University,Cook,Daequan,201161,cookda02
Darwin Cook,/players/c/cookda01.html,1981,1989,University of Portland,Cook,Darwin,76435,cookda01
Jeff Cook,/players/c/cookje01.html,1980,1988,Idaho State University,Cook,Jeff,76436,cookje01
Norm Cook,/players/c/cookno01.html,1977,1978,University of Kansas,Cook,Norm,76437,cookno01
Omar Cook,/players/c/cookom01.html,2004,2005,St. John's University,Cook,Omar,2241,cookom01
Quinn Cook,/players/c/cookqu01.html,2017,2017,Duke University,Cook,Quinn,1626188,cookqu01
David Cooke,/players/c/cookeda01.html,1986,1986,Saint Mary's College of California,Cooke,David,76439,cookeda01
Jack Cooley,/players/c/cooleja01.html,2015,2015,University of Notre Dame,Cooley,Jack,204022,cooleja01
Duane Cooper,/players/c/coopedu01.html,1993,1994,University of Southern California,Cooper,Duane,1030,coopedu01
Joe Cooper,/players/c/coopejo01.html,1982,1985,University of Colorado,Cooper,Joe,76443,coopejo01
Michael Cooper,/players/c/coopemi01.html,1979,1990,University of New Mexico,Cooper,Michael,76444,coopemi01
Wayne Cooper,/players/c/coopewa01.html,1979,1992,University of New Orleans,Cooper,Wayne,76441,coopewa01
Tom Copa,/players/c/copato01.html,1992,1992,Marquette University,Copa,Tom,76446,copato01
Chris Copeland,/players/c/copelch01.html,2013,2016,University of Colorado,Copeland,Chris,203142,copelch01
Hollis Copeland,/players/c/copelho01.html,1980,1982,Rutgers University,Copeland,Hollis,76447,copelho01
Lanard Copeland,/players/c/copella01.html,1990,1992,Georgia State University,Copeland,Lanard,76448,copella01
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,Corbin,Tyrone,895,corbity01
Chris Corchiani,/players/c/corchch01.html,1992,1994,North Carolina State University,Corchiani,Chris,76450,corchch01
Dave Corzine,/players/c/corzida01.html,1979,1991,DePaul University,Corzine,Dave,76453,corzida01
Bryce Cotton,/players/c/cottobr01.html,2015,2016,Providence College,Cotton,Bryce,203955,cottobr01
James Cotton,/players/c/cottoja02.html,1998,1999,"California State University, Long Beach",Cotton,James,1526,cottoja02
John Coughran,/players/c/coughjo01.html,1980,1980,University of California,Coughran,John,76457,coughjo01
Joe Courtney,/players/c/courtjo01.html,1993,1997,University of Southern Mississippi,Courtney,Joe,1432,courtjo01
Marcus Cousin,/players/c/cousima01.html,2011,2011,University of Houston,Cousin,Marcus,202408,cousima01
DeMarcus Cousins,/players/c/couside01.html,2011,2017,University of Kentucky,Cousins,DeMarcus,202326,couside01
Robert Covington,/players/c/covinro01.html,2014,2017,Tennessee State University,Covington,Robert,203496,covinro01
Dave Cowens,/players/c/cowenda01.html,1971,1983,Florida State University,Cowens,Dave,76462,cowenda01
Chubby Cox,/players/c/coxch01.html,1983,1983,University of San Francisco,,,,coxch01
Wesley Cox,/players/c/coxwe01.html,1978,1979,University of Louisville,Cox,Wesley,76465,coxwe01
Allen Crabbe,/players/c/crabbal01.html,2014,2017,University of California,Crabbe,Allen,203459,crabbal01
Chris Crawford,/players/c/crawfch01.html,1998,2004,Marquette University,Crawford,Chris,1544,crawfch01
Jamal Crawford,/players/c/crawfja01.html,2001,2017,University of Michigan,Crawford,Jamal,2037,crawfja01
Joe Crawford,/players/c/crawfjo01.html,2009,2009,University of Kentucky,Crawford,Joe,201621,crawfjo01
Jordan Crawford,/players/c/crawfjo02.html,2011,2017,Xavier University,Crawford,Jordan,202348,crawfjo02
Ron Crevier,/players/c/creviro01.html,1986,1986,Boston College,Crevier,Ron,76469,creviro01
Joe Crispin,/players/c/crispjo01.html,2002,2002,Pennsylvania State University,Crispin,Joe,2343,crispjo01
Charlie Criss,/players/c/crissch01.html,1978,1985,New Mexico State University,Criss,Charlie,76471,crissch01
Winston Crite,/players/c/critewi01.html,1988,1989,Texas A&M University,Crite,Winston,76472,critewi01
Javaris Crittenton,/players/c/crittja01.html,2008,2009,Georgia Institute of Technology,Crittenton,Javaris,201159,crittja01
Geoff Crompton,/players/c/crompge01.html,1979,1984,University of North Carolina,,,,crompge01
Terry Crosby,/players/c/crosbte01.html,1980,1980,University of Tennessee,Crosby,Terry,76475,crosbte01
Austin Croshere,/players/c/croshau01.html,1998,2009,Providence College,Croshere,Austin,1506,croshau01
Jeff Cross,/players/c/crossje01.html,1986,1986,University of Maine,Cross,Jeff,76476,crossje01
Russell Cross,/players/c/crossru01.html,1984,1984,Purdue University,Cross,Russell,76478,crossru01
John Crotty,/players/c/crottjo01.html,1993,2003,University of Virginia,Crotty,John,180,crottjo01
Mark Crow,/players/c/crowma01.html,1978,1978,Duke University,Crow,Mark,76481,crowma01
Corey Crowder,/players/c/crowdco01.html,1992,1995,Kentucky Wesleyan College,Crowder,Corey,76482,crowdco01
Jae Crowder,/players/c/crowdja01.html,2013,2017,Marquette University,Crowder,Jae,203109,crowdja01
Pat Cummings,/players/c/cummipa01.html,1980,1991,University of Cincinnati,Cummings,Pat,76483,cummipa01
Terry Cummings,/players/c/cummite01.html,1983,2000,DePaul University,Cummings,Terry,187,cummite01
Vonteego Cummings,/players/c/cummivo01.html,2000,2002,University of Pittsburgh,Cummings,Vonteego,1907,cummivo01
Dante Cunningham,/players/c/cunnida01.html,2010,2017,Villanova University,Cunningham,Dante,201967,cunnida01
Jared Cunningham,/players/c/cunnija01.html,2013,2016,Oregon State University,Cunningham,Jared,203099,cunnija01
William Cunningham,/players/c/cunniwi01.html,1998,1999,Temple University,Cunningham,William,1061,cunniwi01
Radisav Curcic,/players/c/curcira01.html,1993,1993,,Curcic,Radisav,76488,curcira01
Earl Cureton,/players/c/curetea01.html,1981,1997,University of Detroit Mercy,Cureton,Earl,940,curetea01
Bill Curley,/players/c/curlebi01.html,1995,2001,Boston College,Curley,Bill,223,curlebi01
Dell Curry,/players/c/curryde01.html,1987,2002,Virginia Polytechnic Institute and State University,Curry,Dell,209,curryde01
Eddy Curry,/players/c/curryed01.html,2002,2013,,Curry,Eddy,2201,curryed01
JamesOn Curry,/players/c/curryja01.html,2010,2010,Oklahoma State University,Curry,JamesOn,201191,curryja01
Michael Curry,/players/c/currymi01.html,1994,2005,Georgia Southern University,Curry,Michael,688,currymi01
Seth Curry,/players/c/curryse01.html,2014,2017,Duke University,Curry,Seth,203552,curryse01
Stephen Curry,/players/c/curryst01.html,2010,2017,Davidson College,Curry,Stephen,201939,curryst01
Rastko Cvetkovic,/players/c/cvetkra01.html,1996,1996,,Cvetkovic,Rastko,687,cvetkra01
Mike D'Antoni,/players/d/dantomi01.html,1974,1977,Marshall University,D'Antoni,Mike,76505,dantomi01
Quintin Dailey,/players/d/dailequ01.html,1983,1992,University of San Francisco,Dailey,Quintin,76497,dailequ01
Samuel Dalembert,/players/d/dalemsa01.html,2002,2015,Seton Hall University,Dalembert,Samuel,2223,dalemsa01
Erick Dampier,/players/d/dampier01.html,1997,2012,Mississippi State University,Dampier,Erick,956,dampier01
Louie Dampier,/players/d/dampilo01.html,1968,1979,University of Kentucky,,,,dampilo01
Bob Dandridge,/players/d/dandrbo01.html,1970,1982,Norfolk State University,Dandridge,Bob,76500,dandrbo01
Antonio Daniels,/players/d/daniean01.html,1998,2011,Bowling Green State University,Daniels,Antonio,1498,daniean01
Erik Daniels,/players/d/danieer01.html,2005,2005,University of Kentucky,Daniels,Erik,2845,danieer01
Lloyd Daniels,/players/d/daniell01.html,1993,1998,Mount San Antonio College,Daniels,Lloyd,1380,daniell01
Marquis Daniels,/players/d/daniema01.html,2004,2013,Auburn University,Daniels,Marquis,2605,daniema01
Mel Daniels,/players/d/danieme01.html,1968,1977,University of New Mexico,Daniels,Mel,76502,danieme01
Troy Daniels,/players/d/danietr01.html,2014,2017,Virginia Commonwealth University,Daniels,Troy,203584,danietr01
Sasha Danilovic,/players/d/danilsa01.html,1996,1997,,Danilovic,Sasha,390,danilsa01
Adrian Dantley,/players/d/dantlad01.html,1977,1991,University of Notre Dame,Dantley,Adrian,76504,dantlad01
Yinka Dare,/players/d/dareyi01.html,1995,1998,George Washington University,Dare,Yinka,212,dareyi01
Luigi Datome,/players/d/datomlu01.html,2014,2015,,,,,datomlu01
Brad Daugherty,/players/d/daughbr01.html,1987,1994,University of North Carolina,Daugherty,Brad,921,daughbr01
Kornel David,/players/d/davidko01.html,1999,2001,,David,Kornel,1600,davidko01
Jermareo Davidson,/players/d/davidje01.html,2008,2009,University of Alabama,Davidson,Jermareo,201176,davidje01
Brandon Davies,/players/d/daviebr01.html,2014,2015,Brigham Young University,Davies,Brandon,203561,daviebr01
Anthony Davis,/players/d/davisan02.html,2013,2017,University of Kentucky,Davis,Anthony,203076,davisan02
Antonio Davis,/players/d/davisan01.html,1994,2006,University of Texas at El Paso,Davis,Antonio,213,davisan01
Baron Davis,/players/d/davisba01.html,2000,2012,"University of California, Los Angeles",Davis,Baron,1884,davisba01
Ben Davis,/players/d/davisbe01.html,1997,2000,University of Arizona,Davis,Ben,989,davisbe01
Brad Davis,/players/d/davisbr01.html,1978,1992,University of Maryland,Davis,Brad,76516,davisbr01
Brian Davis,/players/d/davisbr02.html,1994,1994,Duke University,Davis,Brian,76517,davisbr02
Charles Davis,/players/d/davisch02.html,1982,1990,Vanderbilt University,,,,davisch02
Dale Davis,/players/d/davisda01.html,1992,2007,Clemson University,Davis,Dale,905,davisda01
Deyonta Davis,/players/d/davisde01.html,2017,2017,Michigan State University,Davis,Deyonta,1627738,davisde01
Dwight Davis,/players/d/davisdw01.html,1973,1977,University of Houston,,,,davisdw01
Ed Davis,/players/d/davised01.html,2011,2017,University of North Carolina,Davis,Ed,202334,davised01
Emanual Davis,/players/d/davisem01.html,1997,2003,Delaware State University,Davis,Emanual,1023,davisem01
Glen Davis,/players/d/davisgl01.html,2008,2015,Louisiana State University,Davis,Glen,201175,davisgl01
Harry Davis,/players/d/davisha01.html,1979,1980,Florida State University,Davis,Harry,76523,davisha01
Hubert Davis,/players/d/davishu01.html,1993,2004,University of North Carolina,Davis,Hubert,93,davishu01
Johnny Davis,/players/d/davisjo01.html,1977,1986,University of Dayton,Davis,Johnny,76526,davisjo01
Josh Davis,/players/d/davisjo02.html,2004,2012,University of Wyoming,Davis,Josh,2668,davisjo02
Mark Davis,/players/d/davisma01.html,1989,1989,Old Dominion University,Davis,Mark,76528,davisma01
Mark Davis,/players/d/davisma02.html,1996,2000,Texas Tech University,Davis,Mark,707,davisma02
Mel Davis,/players/d/davisme01.html,1974,1977,St. John's University,Davis,Mel,76529,davisme01
Mickey Davis,/players/d/davismi02.html,1972,1977,Duquesne University,,,,davismi02
Mike Davis,/players/d/davismi03.html,1983,1983,University of Maryland,,,,davismi03
Monti Davis,/players/d/davismo01.html,1981,1981,Tennessee State University,Davis,Monti,76520,davismo01
Paul Davis,/players/d/davispa01.html,2007,2010,Michigan State University,Davis,Paul,200781,davispa01
Ricky Davis,/players/d/davisri01.html,1999,2010,University of Iowa,Davis,Ricky,1729,davisri01
Ron Davis,/players/d/davisro01.html,1977,1982,Washington State University,Davis,Ron,76534,davisro01
Terry Davis,/players/d/daviste01.html,1990,2001,Virginia Union University,Davis,Terry,426,daviste01
Walter Davis,/players/d/daviswa03.html,1978,1992,University of North Carolina,Davis,Walter,1453,daviswa03
Andre Dawkins,/players/d/dawkian01.html,2015,2015,Duke University,Dawkins,Andre,203958,dawkian01
Darryl Dawkins,/players/d/dawkida01.html,1976,1989,,Dawkins,Darryl,76539,dawkida01
Johnny Dawkins,/players/d/dawkijo01.html,1987,1995,Duke University,Dawkins,Johnny,1008,dawkijo01
Paul Dawkins,/players/d/dawkipa01.html,1980,1980,Northern Illinois University,Dawkins,Paul,76541,dawkipa01
Branden Dawson,/players/d/dawsobr01.html,2016,2016,Michigan State University,Dawson,Branden,1626183,dawsobr01
Eric Dawson,/players/d/dawsoer01.html,2012,2012,Midwestern State University,Dawson,Eric,201286,dawsoer01
Tony Dawson,/players/d/dawsoto01.html,1991,1995,Florida State University,Dawson,Tony,76542,dawsoto01
Todd Day,/players/d/dayto01.html,1993,2001,University of Arkansas,Day,Todd,103,dayto01
Austin Daye,/players/d/dayeau01.html,2010,2015,Gonzaga University,Daye,Austin,201948,dayeau01
Darren Daye,/players/d/dayeda01.html,1984,1988,"University of California, Los Angeles",Daye,Darren,76543,dayeda01
Nando De Colo,/players/d/decolna01.html,2013,2014,,De Colo,Nando,201986,decolna01
Greg Deane,/players/d/deanegr01.html,1980,1980,University of Utah,Deane,Greg,76544,deanegr01
Andrew DeClercq,/players/d/declean01.html,1996,2005,University of Florida,DeClercq,Andrew,692,declean01
Dewayne Dedmon,/players/d/dedmode01.html,2014,2017,University of Southern California,Dedmon,Dewayne,203473,dedmode01
Terry Dehere,/players/d/deherte01.html,1994,1999,Seton Hall University,Dehere,Terry,143,deherte01
Bryce Dejean-Jones,/players/d/dejeabr01.html,2016,2016,Iowa State University,Dejean-Jones,Bryce,1626214,dejeabr01
Sam Dekker,/players/d/dekkesa01.html,2016,2017,University of Wisconsin,Dekker,Sam,1626155,dekkesa01
Vinny Del Negro,/players/d/delnevi01.html,1989,2002,North Carolina State University,Del Negro,Vinny,219,delnevi01
Malcolm Delaney,/players/d/delanma01.html,2017,2017,Virginia Polytechnic Institute and State University,Delaney,Malcolm,1627098,delanma01
Bison Dele,/players/d/delebi01.html,1992,1999,University of Arizona,Dele,Bison,183,delebi01
Carlos Delfino,/players/d/delfica01.html,2005,2013,,Delfino,Carlos,2568,delfica01
Tony Delk,/players/d/delkto01.html,1997,2006,University of Kentucky,Delk,Tony,960,delkto01
Matthew Dellavedova,/players/d/dellama01.html,2014,2017,Saint Mary's College of California,Dellavedova,Matthew,203521,dellama01
Fennis Dembo,/players/d/dembofe01.html,1989,1989,University of Wyoming,Dembo,Fennis,76552,dembofe01
Larry Demic,/players/d/demicla01.html,1980,1982,University of Arizona,Demic,Larry,76553,demicla01
Dell Demps,/players/d/dempsde01.html,1994,1997,University of the Pacific,Demps,Dell,725,dempsde01
Luol Deng,/players/d/denglu01.html,2005,2017,Duke University,Deng,Luol,2736,denglu01
Kenny Dennard,/players/d/dennake01.html,1982,1984,Duke University,Dennard,Kenny,76556,dennake01
Justin Dentmon,/players/d/dentmju01.html,2012,2013,University of Washington,Dentmon,Justin,202458,dentmju01
Randy Denton,/players/d/dentora01.html,1972,1977,Duke University,Denton,Randy,76558,dentora01
DeMar DeRozan,/players/d/derozde01.html,2010,2017,University of Southern California,DeRozan,DeMar,201942,derozde01
Derrick Dial,/players/d/dialde01.html,2000,2004,Eastern Michigan University,Dial,Derrick,1760,dialde01
Cheick Diallo,/players/d/diallch01.html,2017,2017,University of Kansas,Diallo,Cheick,1627767,diallch01
Boris Diaw,/players/d/diawbo01.html,2004,2017,,Diaw,Boris,2564,diawbo01
Yakhouba Diawara,/players/d/diawaya01.html,2007,2010,Pepperdine University,Diawara,Yakhouba,200821,diawaya01
Guillermo Diaz,/players/d/diazgu01.html,2008,2008,University of Miami,Diaz,Guillermo,200799,diazgu01
Dan Dickau,/players/d/dickada01.html,2003,2008,Gonzaga University,Dickau,Dan,2424,dickada01
Kaniel Dickens,/players/d/dickeka01.html,2004,2008,University of Idaho,Dickens,Kaniel,2079,dickeka01
Henry Dickerson,/players/d/dickehe01.html,1976,1977,University of Charleston,Dickerson,Henry,76563,dickehe01
Michael Dickerson,/players/d/dickemi01.html,1999,2003,University of Arizona,Dickerson,Michael,1722,dickemi01
Derrek Dickey,/players/d/dickede01.html,1974,1978,University of Cincinnati,Dickey,Derrek,76564,dickede01
Travis Diener,/players/d/dienetr01.html,2006,2010,Marquette University,Diener,Travis,101143,dienetr01
Gorgui Dieng,/players/d/dienggo01.html,2014,2017,University of Louisville,Dieng,Gorgui,203476,dienggo01
Coby Dietrick,/players/d/dietrco01.html,1971,1983,San Jose State University,Dietrick,Coby,76567,dietrco01
Ernie DiGregorio,/players/d/digreer01.html,1974,1978,Providence College,DiGregorio,Ernie,76568,digreer01
Mickey Dillard,/players/d/dillami01.html,1982,1982,Florida State University,Dillard,Mickey,76569,dillami01
Byron Dinkins,/players/d/dinkiby01.html,1990,1991,University of North Carolina at Charlotte,Dinkins,Byron,76574,dinkiby01
Spencer Dinwiddie,/players/d/dinwisp01.html,2015,2017,University of Colorado,Dinwiddie,Spencer,203915,dinwisp01
Ike Diogu,/players/d/dioguik01.html,2006,2012,Arizona State University,Diogu,Ike,101113,dioguik01
DeSagana Diop,/players/d/diopde01.html,2002,2013,,Diop,DeSagana,2205,diopde01
Vlade Divac,/players/d/divacvl01.html,1990,2005,,Divac,Vlade,124,divacvl01
Juan Dixon,/players/d/dixonju01.html,2003,2009,University of Maryland,Dixon,Juan,2413,dixonju01
Aleksandar Djordjevic,/players/d/djordal01.html,1997,1997,,Djordjevic,Aleksandar,1059,djordal01
Michael Doleac,/players/d/doleami01.html,1999,2008,University of Utah,Doleac,Michael,1720,doleami01
James Donaldson,/players/d/donalja01.html,1981,1995,Washington State University,Donaldson,James,76583,donalja01
Billy Donovan,/players/d/donovbi01.html,1988,1988,Providence College,Donovan,Billy,76586,donovbi01
Keyon Dooling,/players/d/doolike01.html,2001,2013,University of Missouri,Dooling,Keyon,2039,doolike01
Jacky Dorsey,/players/d/dorseja01.html,1978,1981,University of Georgia,Dorsey,Jacky,76587,dorseja01
Joey Dorsey,/players/d/dorsejo01.html,2009,2015,University of Memphis,Dorsey,Joey,201595,dorsejo01
Quincy Douby,/players/d/doubyqu01.html,2007,2009,Rutgers University,Douby,Quincy,200763,doubyqu01
Bruce Douglas,/players/d/douglbr01.html,1987,1987,University of Illinois at Urbana-Champaign,Douglas,Bruce,76588,douglbr01
John Douglas,/players/d/dougljo01.html,1982,1983,University of Kansas,Douglas,John,76589,dougljo01
Leon Douglas,/players/d/douglle01.html,1977,1983,University of Alabama,Douglas,Leon,76590,douglle01
Sherman Douglas,/players/d/douglsh01.html,1990,2001,Syracuse University,Douglas,Sherman,428,douglsh01
Toney Douglas,/players/d/douglto01.html,2010,2017,Florida State University,Douglas,Toney,201962,douglto01
Chris Douglas-Roberts,/players/d/douglch01.html,2009,2015,University of Memphis,Douglas-Roberts,Chris,201604,douglch01
Zabian Dowdell,/players/d/dowdeza01.html,2011,2011,Virginia Polytechnic Institute and State University,Dowdell,Zabian,202220,dowdeza01
Terry Dozier,/players/d/doziete01.html,1990,1990,University of South Carolina,Dozier,Terry,76596,doziete01
Goran Dragic,/players/d/dragigo01.html,2009,2017,,Dragic,Goran,201609,dragigo01
Zoran Dragic,/players/d/dragizo01.html,2015,2015,,Dragic,Zoran,204054,dragizo01
Greg Dreiling,/players/d/dreilgr01.html,1987,1997,University of Kansas,Dreiling,Greg,1068,dreilgr01
Bryce Drew,/players/d/drewbr01.html,1999,2004,Valparaiso University,Drew,Bryce,1724,drewbr01
John Drew,/players/d/drewjo01.html,1975,1985,Gardner-Webb University,Drew,John,76598,drewjo01
Larry Drew,/players/d/drewla01.html,1981,1991,University of Missouri,Drew,Larry,76599,drewla01
Larry Drew,/players/d/drewla02.html,2015,2015,"University of California, Los Angeles",Drew,Larry,76599,drewla02
Clyde Drexler,/players/d/drexlcl01.html,1984,1998,University of Houston,Drexler,Clyde,17,drexlcl01
Nate Driggers,/players/d/driggna01.html,1997,1997,University of Montevallo,Driggers,Nate,1041,driggna01
Predrag Drobnjak,/players/d/drobnpr01.html,2002,2005,,Drobnjak,Predrag,1542,drobnpr01
Ralph Drollinger,/players/d/drollra01.html,1981,1981,"University of California, Los Angeles",Drollinger,Ralph,76604,drollra01
Andre Drummond,/players/d/drumman01.html,2013,2017,University of Connecticut,Drummond,Andre,203083,drumman01
Kevin Duckworth,/players/d/duckwke01.html,1987,1997,Eastern Illinois University,Duckworth,Kevin,404,duckwke01
Charles Dudley,/players/d/dudlech01.html,1973,1979,University of Washington,Dudley,Charles,76607,dudlech01
Chris Dudley,/players/d/dudlech02.html,1988,2003,Yale University,Dudley,Chris,201,dudlech02
Jared Dudley,/players/d/dudleja01.html,2008,2017,Boston College,Dudley,Jared,201162,dudleja01
Terry Duerod,/players/d/duerote01.html,1980,1983,University of Detroit Mercy,Duerod,Terry,76608,duerote01
Chris Duhon,/players/d/duhonch01.html,2005,2013,Duke University,Duhon,Chris,2768,duhonch01
Duje Dukan,/players/d/dukandu01.html,2016,2016,University of Wisconsin,Dukan,Duje,1626251,dukandu01
Joe Dumars,/players/d/dumarjo01.html,1986,1999,McNeese State University,Dumars,Joe,247,dumarjo01
Richard Dumas,/players/d/dumasri02.html,1993,1996,Oklahoma State University,Dumas,Richard,30,dumasri02
Tony Dumas,/players/d/dumasto01.html,1995,1998,University of Missouri-Kansas City,Dumas,Tony,434,dumasto01
Tim Duncan,/players/d/duncati01.html,1998,2016,Wake Forest University,Duncan,Tim,1495,duncati01
Mike Dunleavy,/players/d/dunlemi01.html,1977,1990,University of South Carolina,Dunleavy,Mike,76616,dunlemi01
Mike Dunleavy,/players/d/dunlemi02.html,2003,2017,Duke University,Dunleavy,Mike,2399,dunlemi02
Kris Dunn,/players/d/dunnkr01.html,2017,2017,Providence College,Dunn,Kris,1627739,dunnkr01
T.R. Dunn,/players/d/dunntr01.html,1978,1991,University of Alabama,Dunn,T.R.,76618,dunntr01
Ronald Dupree,/players/d/duprero01.html,2004,2011,Louisiana State University,Dupree,Ronald,2648,duprero01
Kevin Durant,/players/d/duranke01.html,2008,2017,University of Texas at Austin,Durant,Kevin,201142,duranke01
John Duren,/players/d/durenjo01.html,1981,1983,Georgetown University,Duren,John,76619,durenjo01
Pat Durham,/players/d/durhapa01.html,1993,1995,Colorado State University,Durham,Pat,1090,durhapa01
Devin Durrant,/players/d/durrade01.html,1985,1986,Brigham Young University,Durrant,Devin,76621,durrade01
Craig Dykema,/players/d/dykemcr01.html,1982,1982,"California State University, Long Beach",Dykema,Craig,76625,dykemcr01
Jerome Dyson,/players/d/dysonje01.html,2012,2012,University of Connecticut,Dyson,Jerome,202406,dysonje01
Ledell Eackles,/players/e/eacklle01.html,1989,1998,University of New Orleans,Eackles,Ledell,289,eacklle01
Jim Eakins,/players/e/eakinji01.html,1969,1978,Brigham Young University,Eakins,Jim,76628,eakinji01
Acie Earl,/players/e/earlac01.html,1994,1997,University of Iowa,Earl,Acie,768,earlac01
Cleanthony Early,/players/e/earlycl01.html,2015,2016,Wichita State University,Early,Cleanthony,203921,earlycl01
Mark Eaton,/players/e/eatonma01.html,1983,1993,"University of California, Los Angeles",Eaton,Mark,76631,eatonma01
Jerry Eaves,/players/e/eavesje01.html,1983,1987,University of Louisville,Eaves,Jerry,76632,eavesje01
Devin Ebanks,/players/e/ebankde01.html,2011,2013,West Virginia University,Ebanks,Devin,202365,ebankde01
Al Eberhard,/players/e/eberhal01.html,1975,1978,University of Missouri,Eberhard,Al,76634,eberhal01
Ndudi Ebi,/players/e/ebind01.html,2004,2005,,Ebi,Ndudi,2569,ebind01
Jarell Eddie,/players/e/eddieja01.html,2016,2017,Virginia Polytechnic Institute and State University,Eddie,Jarell,204067,eddieja01
Patrick Eddie,/players/e/eddiepa01.html,1992,1992,University of Mississippi,Eddie,Patrick,76635,eddiepa01
Kenton Edelin,/players/e/edelike01.html,1985,1985,University of Virginia,,,,edelike01
Keith Edmonson,/players/e/edmonke01.html,1983,1984,Purdue University,Edmonson,Keith,76638,edmonke01
Tyus Edney,/players/e/edneyty01.html,1996,2001,"University of California, Los Angeles",Edney,Tyus,721,edneyty01
Bill Edwards,/players/e/edwarbi01.html,1994,1994,Wright State University,Edwards,Bill,76646,edwarbi01
