name,link,year_from,year_to,college,active
Ledell Eackles,/players/e/eacklle01.html,1989,1998,University of New Orleans,false
Jim Eakins,/players/e/eakinji01.html,1969,1978,Brigham Young University,false
Acie Earl,/players/e/earlac01.html,1994,1997,University of Iowa,false
Cleanthony Early,/players/e/earlycl01.html,2015,2016,Wichita State University,true
Mark Eaton,/players/e/eatonma01.html,1983,1993,"University of California, Los Angeles",false
Jerry Eaves,/players/e/eavesje01.html,1983,1987,University of Louisville,false
Devin Ebanks,/players/e/ebankde01.html,2011,2013,West Virginia University,true
Al Eberhard,/players/e/eberhal01.html,1975,1978,University of Missouri,false
Ndudi Ebi,/players/e/ebind01.html,2004,2005,,false
Jarell Eddie,/players/e/eddieja01.html,2016,2017,Virginia Polytechnic Institute and State University,true
Patrick Eddie,/players/e/eddiepa01.html,1992,1992,University of Mississippi,false
Kenton Edelin,/players/e/edelike01.html,1985,1985,University of Virginia,false
Keith Edmonson,/players/e/edmonke01.html,1983,1984,Purdue University,false
Tyus Edney,/players/e/edneyty01.html,1996,2001,"University of California, Los Angeles",false
Bill Edwards,/players/e/edwarbi01.html,1994,1994,Wright State University,false
Blue Edwards,/players/e/edwarbl01.html,1990,1999,East Carolina University,false
Corsley Edwards,/players/e/edwarco01.html,2005,2005,Central Connecticut State University,false
Doug Edwards,/players/e/edwardo01.html,1994,1996,Florida State University,false
Franklin Edwards,/players/e/edwarfr01.html,1982,1988,Cleveland State University,false
James Edwards,/players/e/edwarja01.html,1978,1996,University of Washington,false
Jay Edwards,/players/e/edwarja02.html,1990,1990,Indiana University,false
John Edwards,/players/e/edwarjo01.html,2005,2006,Kent State University,false
Kevin Edwards,/players/e/edwarke01.html,1989,2001,DePaul University,false
Shane Edwards,/players/e/edwarsh01.html,2014,2014,University of Arkansas at Little Rock,true
Craig Ehlo,/players/e/ehlocr01.html,1984,1997,Washington State University,false
Howard Eisley,/players/e/eisleho01.html,1995,2006,Boston College,false
Obinna Ekezie,/players/e/ekeziob01.html,2000,2005,University of Maryland,false
Khalid El-Amin,/players/e/elamikh01.html,2001,2001,University of Connecticut,false
Mario Elie,/players/e/eliema01.html,1991,2001,American International College,false
Henry Ellenson,/players/e/ellenhe01.html,2017,2017,Marquette University,true
Wayne Ellington,/players/e/ellinwa01.html,2010,2017,University of North Carolina,true
Bob Elliott,/players/e/elliobo01.html,1979,1981,University of Arizona,false
Sean Elliott,/players/e/elliose01.html,1990,2001,University of Arizona,false
Bo Ellis,/players/e/ellisbo02.html,1978,1980,Marquette University,false
Dale Ellis,/players/e/ellisda01.html,1984,2000,University of Tennessee,false
Harold Ellis,/players/e/ellisha01.html,1994,1998,Morehouse College,false
LaPhonso Ellis,/players/e/ellisla01.html,1993,2003,University of Notre Dame,false
LeRon Ellis,/players/e/ellisle02.html,1992,1996,Syracuse University,false
Monta Ellis,/players/e/ellismo01.html,2006,2017,,true
Pervis Ellison,/players/e/ellispe01.html,1990,2001,University of Louisville,false
Len Elmore,/players/e/elmorle01.html,1975,1984,University of Maryland,false
Francisco Elson,/players/e/elsonfr01.html,2004,2012,University of California,false
Darrell Elston,/players/e/elstoda01.html,1975,1977,University of North Carolina,false
Melvin Ely,/players/e/elyme01.html,2003,2014,"California State University, Fresno",true
Joel Embiid,/players/e/embiijo01.html,2017,2017,University of Kansas,true
Andre Emmett,/players/e/emmetan01.html,2005,2012,Texas Tech University,false
Chris Engler,/players/e/englech01.html,1983,1988,University of Wyoming,false
Wayne Englestad,/players/e/englewa01.html,1989,1989,"University of California, Irvine",false
A.J. English,/players/e/engliaj01.html,1991,1992,Virginia Union University,false
Alex English,/players/e/englial01.html,1977,1991,University of South Carolina,false
Jo Jo English,/players/e/englijo01.html,1993,1995,University of South Carolina,false
Kim English,/players/e/engliki01.html,2013,2013,University of Missouri,true
James Ennis,/players/e/ennisja01.html,2015,2017,"California State University, Long Beach",true
Tyler Ennis,/players/e/ennisty01.html,2015,2017,Syracuse University,true
Ray Epps,/players/e/eppsra01.html,1979,1979,Norfolk State University,false
Semih Erden,/players/e/erdense01.html,2011,2012,,false
Keith Erickson,/players/e/erickke01.html,1966,1977,"University of California, Los Angeles",false
Julius Erving,/players/e/ervinju01.html,1972,1987,University of Massachusetts Amherst,false
Evan Eschmeyer,/players/e/eschmev01.html,2000,2003,Northwestern University,false
Vincenzo Esposito,/players/e/esposvi01.html,1996,1996,,false
Brian Evans,/players/e/evansbr01.html,1997,1999,Indiana University,false
Earl Evans,/players/e/evansea01.html,1980,1980,"University of Nevada, Las Vegas",false
Jeremy Evans,/players/e/evansje01.html,2011,2016,Western Kentucky University,true
Maurice Evans,/players/e/evansma01.html,2002,2012,University of Texas at Austin,false
Mike Evans,/players/e/evansmi01.html,1980,1988,Kansas State University,false
Reggie Evans,/players/e/evansre01.html,2003,2015,University of Iowa,false
Tyreke Evans,/players/e/evansty01.html,2010,2017,University of Memphis,true
Daniel Ewing,/players/e/ewingda01.html,2006,2007,Duke University,false
Patrick Ewing,/players/e/ewingpa01.html,1986,2002,Georgetown University,false
Patrick Ewing,/players/e/ewingpa02.html,2011,2011,Georgetown University,false
Dante Exum,/players/e/exumda01.html,2015,2017,,true
Christian Eyenga,/players/e/eyengch01.html,2011,2012,,false
Festus Ezeli,/players/e/ezelife01.html,2013,2016,Vanderbilt University,true
