name,link,year_from,year_to,college,active
Jarrett Jack,/players/j/jackja01.html,2006,2018,Georgia Tech,true
Aaron Jackson,/players/j/jacksaa01.html,2018,2018,Duquesne,true
Bobby Jackson,/players/j/jacksbo01.html,1998,2009,Minnesota,false
Cedric Jackson,/players/j/jacksce01.html,2010,2010,"St. John's, Cleveland State University",false
Darnell Jackson,/players/j/jacksda01.html,2009,2011,Kansas,false
Demetrius Jackson,/players/j/jacksde01.html,2017,2019,Notre Dame,true
Frank Jackson,/players/j/jacksfr01.html,2019,2019,Duke,true
Jaren Jackson,/players/j/jacksja01.html,1990,2002,Georgetown,false
Jaren Jackson,/players/j/jacksja02.html,2019,2019,Michigan State,true
Jermaine Jackson,/players/j/jacksje01.html,2000,2006,Detroit Mercy,false
Jim Jackson,/players/j/jacksji01.html,1993,2006,Ohio State,false
Josh Jackson,/players/j/jacksjo02.html,2018,2019,Kansas,true
Justin Jackson,/players/j/jacksju01.html,2018,2019,UNC,true
Luke Jackson,/players/j/jackslu02.html,2005,2008,Oregon,false
Marc Jackson,/players/j/jacksma02.html,2001,2007,"Virginia Commonwealth, Temple",false
Mark Jackson,/players/j/jacksma01.html,1988,2004,St. John's,false
Michael Jackson,/players/j/jacksmi02.html,1988,1990,Georgetown,false
Myron Jackson,/players/j/jacksmy01.html,1987,1987,Little Rock,false
Phil Jackson,/players/j/jacksph01.html,1968,1980,University of North Dakota,false
Pierre Jackson,/players/j/jackspi01.html,2017,2017,Baylor,true
Ralph Jackson,/players/j/jacksra01.html,1985,1985,UCLA,false
Randell Jackson,/players/j/jacksra02.html,1999,2000,Florida State,false
Reggie Jackson,/players/j/jacksre01.html,2012,2019,Boston College,true
Stanley Jackson,/players/j/jacksst01.html,1994,1994,University of Alabama at Birmingham,false
Stephen Jackson,/players/j/jacksst02.html,2001,2014,Butler County Community College,false
Tony Jackson,/players/j/jacksto02.html,1981,1981,Florida State,false
Tracy Jackson,/players/j/jackstr01.html,1982,1984,Notre Dame,false
Casey Jacobsen,/players/j/jacobca01.html,2003,2008,Stanford,false
Sam Jacobson,/players/j/jacobsa01.html,1999,2001,Minnesota,false
Dave Jamerson,/players/j/jamerda01.html,1991,1994,Ohio University,false
Aaron James,/players/j/jamesaa01.html,1975,1979,Grambling State University,false
Bernard James,/players/j/jamesbe01.html,2013,2015,Florida State,false
Damion James,/players/j/jamesda01.html,2011,2014,Texas,false
Henry James,/players/j/jameshe01.html,1991,1998,"South Plains College, St. Mary's University",false
Jerome James,/players/j/jamesje01.html,1999,2009,Florida A&M,false
LeBron James,/players/j/jamesle01.html,2004,2019,,true
Mike James,/players/j/jamesmi01.html,2002,2014,Duquesne,false
Mike James,/players/j/jamesmi02.html,2018,2018,Lamar University,true
Tim James,/players/j/jamesti01.html,2000,2002,Miami (FL),false
Antawn Jamison,/players/j/jamisan01.html,1999,2014,UNC,false
Harold Jamison,/players/j/jamisha01.html,2000,2002,Clemson,false
Marko Jarić,/players/j/jaricma01.html,2003,2009,,false
Šarūnas Jasikevičius,/players/j/jasiksa01.html,2006,2007,Maryland,false
Nathan Jawai,/players/j/jawaina01.html,2009,2010,Midland College,false
Abdul Jeelani,/players/j/jeelaab01.html,1980,1981,University of Wisconsin-Parkside,false
Chris Jefferies,/players/j/jeffech01.html,2003,2004,"Arkansas, Fresno State",false
Othyus Jeffers,/players/j/jeffeot01.html,2010,2014,"University of Illinois at Chicago, Robert Morris University (IL)",false
Al Jefferson,/players/j/jeffeal01.html,2005,2018,,false
Amile Jefferson,/players/j/jeffeam01.html,2019,2019,Duke,true
Cory Jefferson,/players/j/jeffeco01.html,2015,2016,Baylor,false
Dontell Jefferson,/players/j/jeffedo01.html,2009,2009,Arkansas,false
Richard Jefferson,/players/j/jefferi01.html,2002,2018,Arizona,false
Jared Jeffries,/players/j/jeffrja01.html,2003,2013,Indiana,false
Charles Jenkins,/players/j/jenkich01.html,2012,2013,Hofstra,false
Horace Jenkins,/players/j/jenkiho01.html,2005,2005,William Paterson University,false
John Jenkins,/players/j/jenkijo01.html,2013,2019,Vanderbilt,true
Brandon Jennings,/players/j/jennibr01.html,2010,2018,,true
Keith Jennings,/players/j/jennike01.html,1993,1995,East Tennessee State University,false
Chris Jent,/players/j/jentch01.html,1994,1997,Ohio State,false
Les Jepsen,/players/j/jepsele01.html,1991,1992,Iowa,false
Jonas Jerebko,/players/j/jerebjo01.html,2010,2019,,true
Grant Jerrett,/players/j/jerregr01.html,2015,2015,Arizona,false
Eugene Jeter,/players/j/jetereu01.html,2011,2011,University of Portland,false
Yi Jianlian,/players/j/jianlyi01.html,2008,2012,,false
Britton Johnsen,/players/j/johnsbr01.html,2004,2005,Utah,false
Alexander Johnson,/players/j/johnsal01.html,2007,2008,Florida State,false
Alize Johnson,/players/j/johnsal02.html,2019,2019,Missouri State,true
Amir Johnson,/players/j/johnsam01.html,2006,2019,,true
Anthony Johnson,/players/j/johnsan02.html,1998,2010,College of Charleston,false
Armon Johnson,/players/j/johnsar02.html,2011,2012,Nevada,false
Avery Johnson,/players/j/johnsav01.html,1989,2004,"Cameron University, Southern University and A&M College",false
B.J. Johnson,/players/j/johnsbj01.html,2019,2019,"Syracuse, La Salle",true
Brice Johnson,/players/j/johnsbr02.html,2017,2018,UNC,true
Buck Johnson,/players/j/johnsbu01.html,1987,1993,Alabama,false
Carldell Johnson,/players/j/johnsca01.html,2012,2012,University of Alabama at Birmingham,false
Charles Johnson,/players/j/johnsch01.html,1973,1979,Cal,false
Cheese Johnson,/players/j/johnsch02.html,1980,1980,Wichita State,false
Chris Johnson,/players/j/johnsch03.html,2011,2013,LSU,false
Chris Johnson,/players/j/johnsch04.html,2013,2016,Dayton,false
Clay Johnson,/players/j/johnscl02.html,1982,1984,Missouri,false
Clemon Johnson,/players/j/johnscl01.html,1979,1988,Florida A&M,false
Dakari Johnson,/players/j/johnsda04.html,2018,2018,Kentucky,true
Darryl Johnson,/players/j/johnsda02.html,1996,1996,Michigan State,false
