name,link,year_from,year_to,college,active
Hamady N'Diaye,/players/n/ndiayha01.html,2011,2014,Rutgers University,true
Makhtar N'Diaye,/players/n/ndiayma01.html,1999,1999,University of North Carolina,false
Mamadou N'Diaye,/players/n/ndiayma02.html,2001,2005,Auburn University,false
Boniface N'Dong,/players/n/ndongbo01.html,2006,2006,,false
Bostjan Nachbar,/players/n/nachbbo01.html,2003,2008,,false
Lee Nailon,/players/n/nailole01.html,2001,2006,Texas Christian University,false
Eduardo Najera,/players/n/najered01.html,2001,2012,University of Oklahoma,false
Larry Nance,/players/n/nancela01.html,1982,1994,Clemson University,false
Larry Nance Jr.,/players/n/nancela02.html,2016,2017,University of Wyoming,true
Shabazz Napier,/players/n/napiesh01.html,2015,2017,University of Connecticut,true
Bob Nash,/players/n/nashbo01.html,1973,1979,University of Hawaii,false
Steve Nash,/players/n/nashst01.html,1997,2014,Santa Clara University,false
Swen Nater,/players/n/natersw01.html,1974,1984,"University of California, Los Angeles",false
Howard Nathan,/players/n/nathaho01.html,1996,1996,University of Louisiana at Monroe,false
Calvin Natt,/players/n/nattca01.html,1980,1990,University of Louisiana at Monroe,false
Kenny Natt,/players/n/nattke01.html,1981,1985,University of Louisiana at Monroe,false
Juan Carlos Navarro,/players/n/navarju01.html,2008,2008,,false
Maurice Ndour,/players/n/ndourma01.html,2017,2017,Ohio University,true
Craig Neal,/players/n/nealcr01.html,1989,1991,Georgia Institute of Technology,false
Gary Neal,/players/n/nealga01.html,2011,2017,Towson University,true
Lloyd Neal,/players/n/nealll01.html,1973,1979,Tennessee State University,false
Ed Nealy,/players/n/nealyed01.html,1983,1993,Kansas State University,false
Nemanja Nedovic,/players/n/nedovne01.html,2014,2014,,true
DeMarcus Nelson,/players/n/nelsode01.html,2009,2009,Duke University,false
Jameer Nelson,/players/n/nelsoja01.html,2005,2017,Saint Joseph's University,true
Louie Nelson,/players/n/nelsolo01.html,1974,1978,University of Washington,false
Ruben Nembhard,/players/n/nembhru01.html,1997,1997,Weber State University,false
Tyrone Nesby,/players/n/nesbyty01.html,1999,2002,"University of Nevada, Las Vegas",false
Martin Nessley,/players/n/nesslma01.html,1988,1988,Duke University,false
Rasho Nesterovic,/players/n/nestera01.html,1999,2010,,false
Raul Neto,/players/n/netora01.html,2016,2017,,true
Johnny Neumann,/players/n/neumajo01.html,1972,1978,University of Mississippi,false
Chuck Nevitt,/players/n/nevitch01.html,1983,1994,North Carolina State University,false
Melvin Newbern,/players/n/newbeme01.html,1993,1993,University of Minnesota,false
Ivano Newbill,/players/n/newbiiv01.html,1995,1998,Georgia Institute of Technology,false
Ira Newble,/players/n/newblir01.html,2001,2008,Miami University,false
Mike Newlin,/players/n/newlimi01.html,1972,1982,University of Utah,false
Johnny Newman,/players/n/newmajo01.html,1987,2002,University of Richmond,false
Georges Niang,/players/n/niangge01.html,2017,2017,Iowa State University,true
Demetris Nichols,/players/n/nichode01.html,2008,2009,Syracuse University,false
Andrew Nicholson,/players/n/nichoan01.html,2013,2017,St. Bonaventure University,true
Gaylon Nickerson,/players/n/nickega01.html,1997,1997,Northwestern Oklahoma State University,false
Carl Nicks,/players/n/nicksca01.html,1981,1983,Indiana State University,false
Mike Niles,/players/n/nilesmi01.html,1981,1981,"California State University, Fullerton",false
Kurt Nimphius,/players/n/nimphku01.html,1982,1990,Arizona State University,false
Dyron Nix,/players/n/nixdy01.html,1990,1990,University of Tennessee,false
Norm Nixon,/players/n/nixonno01.html,1978,1989,Duquesne University,false
Joakim Noah,/players/n/noahjo01.html,2008,2017,University of Florida,true
Andres Nocioni,/players/n/nocioan01.html,2005,2012,,false
David Noel,/players/n/noelda01.html,2007,2007,University of North Carolina,false
Nerlens Noel,/players/n/noelne01.html,2015,2017,University of Kentucky,true
Lucas Nogueira,/players/n/noguelu01.html,2015,2017,,true
Jeff Nordgaard,/players/n/nordgje01.html,1998,1998,University of Wisconsin-Green Bay,false
Connie Norman,/players/n/normaco01.html,1975,1979,University of Arizona,false
Ken Norman,/players/n/normake01.html,1988,1997,University of Illinois at Urbana-Champaign,false
Audie Norris,/players/n/norriau01.html,1983,1985,Jackson State University,false
Moochie Norris,/players/n/norrimo01.html,1997,2006,University of West Florida,false
Sylvester Norris,/players/n/norrisy01.html,1980,1980,Jackson State University,false
Willie Norwood,/players/n/norwowi01.html,1972,1978,Alcorn State University,false
Steve Novak,/players/n/novakst01.html,2007,2017,Marquette University,true
Dirk Nowitzki,/players/n/nowitdi01.html,1999,2017,,true
James Nunnally,/players/n/nunnaja01.html,2014,2014,"University of California, Santa Barbara",true
Jusuf Nurkic,/players/n/nurkiju01.html,2015,2017,,true
Dennis Nutt,/players/n/nuttde01.html,1987,1987,Texas Christian University,false
David Nwaba,/players/n/nwabada01.html,2017,2017,"California Polytechnic State University, San Luis Obispo",true
Julius Nwosu,/players/n/nwosuju01.html,1995,1995,Liberty University,false
