name,link,year_from,year_to,college,active
Charles O'Bannon,/players/o/obannch01.html,1998,1999,"University of California, Los Angeles",false
Ed O'Bannon,/players/o/obanned01.html,1996,1997,"University of California, Los Angeles",false
J.J. O'Brien,/players/o/obriejj01.html,2016,2016,San Diego State University,false
Johnny O'Bryant,/players/o/obryajo01.html,2015,2018,Louisiana State University,true
Patrick O'Bryant,/players/o/obryapa01.html,2007,2010,Bradley University,false
Mike O'Koren,/players/o/okoremi01.html,1981,1988,University of North Carolina,false
Jermaine O'Neal,/players/o/onealje01.html,1997,2014,,false
Shaquille O'Neal,/players/o/onealsh01.html,1993,2011,Louisiana State University,false
Royce O'Neale,/players/o/onealro01.html,2018,2019,Baylor University,true
Kyle O'Quinn,/players/o/oquinky01.html,2013,2019,Norfolk State University,true
Dan O'Sullivan,/players/o/osullda01.html,1991,1996,Fordham University,false
Charles Oakley,/players/o/oaklech01.html,1986,2004,Virginia Union University,false
Fabricio Oberto,/players/o/obertfa01.html,2006,2011,,false
Daniel Ochefu,/players/o/ochefda01.html,2017,2017,Villanova University,true
Greg Oden,/players/o/odengr01.html,2009,2014,Ohio State University,false
Lamar Odom,/players/o/odomla01.html,2000,2013,University of Rhode Island,false
Alan Ogg,/players/o/oggal01.html,1991,1993,University of Alabama at Birmingham,false
Tim Ohlbrecht,/players/o/ohlbrti01.html,2013,2013,,false
Semi Ojeleye,/players/o/ojelese01.html,2018,2019,Southern Methodist University,true
Emeka Okafor,/players/o/okafoem01.html,2005,2018,University of Connecticut,true
Jahlil Okafor,/players/o/okafoja01.html,2016,2019,Duke University,true
Elie Okobo,/players/o/okoboel01.html,2019,2019,,true
Josh Okogie,/players/o/okogijo01.html,2019,2019,Georgia Institute of Technology,true
Mehmet Okur,/players/o/okurme01.html,2003,2012,,false
Victor Oladipo,/players/o/oladivi01.html,2014,2019,Indiana University,true
Hakeem Olajuwon,/players/o/olajuha01.html,1985,2002,University of Houston,false
Mark Olberding,/players/o/olberma01.html,1976,1987,University of Minnesota,false
Jawann Oldham,/players/o/oldhaja01.html,1981,1991,Seattle University,false
Frank Oleynick,/players/o/oleynfr01.html,1976,1977,Seattle University,false
John Olive,/players/o/olivejo01.html,1979,1980,Villanova University,false
Brian Oliver,/players/o/olivebr01.html,1991,1998,Georgia Institute of Technology,false
Dean Oliver,/players/o/olivede01.html,2002,2003,University of Iowa,false
Jimmy Oliver,/players/o/oliveji01.html,1992,1999,Purdue University,false
Kevin Ollie,/players/o/ollieke01.html,1998,2010,University of Connecticut,false
Michael Olowokandi,/players/o/olowomi01.html,1999,2007,University of the Pacific,false
Kelly Olynyk,/players/o/olynyke01.html,2014,2019,Gonzaga University,true
Arinze Onuaku,/players/o/onuakar01.html,2014,2017,Syracuse University,true
Chinanu Onuaku,/players/o/onuakch01.html,2017,2018,University of Louisville,true
Louis Orr,/players/o/orrlo01.html,1981,1988,Syracuse University,false
Jose Ortiz,/players/o/ortizjo01.html,1989,1990,Oregon State University,false
Daniel Orton,/players/o/ortonda01.html,2012,2014,University of Kentucky,false
Cedi Osman,/players/o/osmande01.html,2018,2019,,true
Greg Ostertag,/players/o/ostergr01.html,1996,2006,University of Kansas,false
Matt Othick,/players/o/othicma01.html,1993,1993,University of Arizona,false
Kelly Oubre,/players/o/oubreke01.html,2016,2019,University of Kansas,true
Bo Outlaw,/players/o/outlabo01.html,1994,2008,"South Plains College, University of Houston",false
Travis Outlaw,/players/o/outlatr01.html,2004,2014,,false
Doug Overton,/players/o/overtdo01.html,1993,2004,La Salle University,false
Andre Owens,/players/o/owensan01.html,2006,2008,"Indiana University, University of Houston",false
Billy Owens,/players/o/owensbi01.html,1992,2001,Syracuse University,false
Chris Owens,/players/o/owensch01.html,2003,2003,"Tulane University, University of Texas at Austin",false
Eddie Owens,/players/o/owensed01.html,1978,1978,"University of Nevada, Las Vegas",false
Keith Owens,/players/o/owenske01.html,1992,1992,"University of California, Los Angeles",false
Larry Owens,/players/o/owensla01.html,2011,2012,Oral Roberts University,false
Tom Owens,/players/o/owensto01.html,1972,1983,University of South Carolina,false
Ray Owes,/players/o/owesra01.html,1997,1997,University of Arizona,false
Olumide Oyedeji,/players/o/oyedeol01.html,2001,2003,,false
