name,link,year_from,year_to,college,active
Dan Gadzuric,/players/g/gadzuda01.html,2003,2012,"University of California, Los Angeles",false
Deng Gai,/players/g/gaide01.html,2006,2006,Fairfield University,false
Corey Gaines,/players/g/gaineco01.html,1989,1995,"University of California, Los Angeles, Loyola Marymount University",false
Reece Gaines,/players/g/gainere01.html,2004,2006,University of Louisville,false
Sundiata Gaines,/players/g/gainesu01.html,2010,2012,University of Georgia,false
Mike Gale,/players/g/galemi01.html,1972,1982,Elizabeth City State University,false
Chad Gallagher,/players/g/gallach01.html,1994,1994,Creighton University,false
Danilo Gallinari,/players/g/gallida01.html,2009,2018,,true
Langston Galloway,/players/g/gallola01.html,2015,2018,Saint Joseph's University,true
Kevin Gamble,/players/g/gamblke01.html,1988,1997,University of Iowa,false
Jorge Garbajosa,/players/g/garbajo01.html,2007,2008,,false
Ruben Garces,/players/g/garceru01.html,2001,2001,Providence College,false
Alex Garcia,/players/g/garcial01.html,2004,2005,,false
Francisco Garcia,/players/g/garcifr01.html,2006,2015,University of Louisville,false
Thomas Gardner,/players/g/gardnth01.html,2008,2009,University of Missouri,false
Patricio Garino,/players/g/garinpa01.html,2017,2017,George Washington University,true
Gary Garland,/players/g/garlaga01.html,1980,1980,DePaul University,false
Winston Garland,/players/g/garlawi01.html,1988,1995,Missouri State University,false
Chris Garner,/players/g/garnech01.html,1998,2001,University of Memphis,false
Bill Garnett,/players/g/garnebi02.html,1983,1986,University of Wyoming,false
Kevin Garnett,/players/g/garneke01.html,1996,2016,,false
Marlon Garnett,/players/g/garnema01.html,1999,1999,Santa Clara University,false
Calvin Garrett,/players/g/garreca01.html,1981,1984,"Austin Peay State University, Oral Roberts University",false
Dean Garrett,/players/g/garrede01.html,1997,2002,Indiana University,false
Diante Garrett,/players/g/garredi02.html,2013,2014,Iowa State University,false
Rowland Garrett,/players/g/garrero01.html,1973,1977,Florida State University,false
Tom Garrick,/players/g/garrito01.html,1989,1992,University of Rhode Island,false
