name,link,year_from,year_to,college,active
Edwin Ubiles,/players/u/ubileed01.html,2012,2012,Siena College,false
Ekpe Udoh,/players/u/udohek01.html,2011,2019,"Michigan, Baylor",true
Ime Udoka,/players/u/udokaim01.html,2004,2011,"San Francisco, Portland State",false
Beno Udrih,/players/u/udrihbe01.html,2005,2017,,false
Roko Ukić,/players/u/ukicro01.html,2009,2010,,false
Tyler Ulis,/players/u/ulisty01.html,2017,2019,Kentucky,true
Wes Unseld,/players/u/unselwe01.html,1969,1981,Louisville,false
Kelvin Upshaw,/players/u/upshake01.html,1989,1991,Utah,false
Jarrod Uthoff,/players/u/uthofja01.html,2017,2017,Iowa,true
Ben Uzoh,/players/u/uzohbe01.html,2011,2012,Tulsa,false
