name,link,year_from,year_to,college,active
Zan Tabak,/players/t/tabakza01.html,1995,2001,,false
Yuta Tabuse,/players/t/tabusyu01.html,2005,2005,Brigham Young University Hawaii,false
Chris Taft,/players/t/taftch01.html,2006,2006,University of Pittsburgh,false
Dragan Tarlac,/players/t/tarladr01.html,2001,2001,,false
Roy Tarpley,/players/t/tarplro01.html,1987,1995,University of Michigan,false
Earl Tatum,/players/t/tatumea01.html,1977,1980,Marquette University,false
Jayson Tatum,/players/t/tatumja01.html,2018,2018,Duke University,true
Edy Tavares,/players/t/tavarwa01.html,2016,2017,,true
Anthony Taylor,/players/t/tayloan01.html,1989,1989,University of Oregon,false
Brian Taylor,/players/t/taylobr01.html,1973,1982,Princeton University,false
Donell Taylor,/players/t/taylodo01.html,2006,2007,"Okaloosa-Walton Community College, University of Alabama at Birmingham",false
Fatty Taylor,/players/t/taylofa01.html,1970,1977,La Salle University,false
Isaiah Taylor,/players/t/taylois01.html,2017,2018,University of Texas at Austin,true
Jay Taylor,/players/t/tayloja01.html,1990,1990,Eastern Illinois University,false
Jeff Taylor,/players/t/tayloje01.html,1983,1987,Texas Tech University,false
Jeffery Taylor,/players/t/tayloje03.html,2013,2015,Vanderbilt University,false
Jermaine Taylor,/players/t/tayloje02.html,2010,2011,University of Central Florida,false
Johnny Taylor,/players/t/taylojo01.html,1998,2000,"Indian Hills Community College, University of Tennessee at Chattanooga",false
Leonard Taylor,/players/t/taylole01.html,1990,1990,University of California,false
Maurice Taylor,/players/t/tayloma01.html,1998,2007,University of Michigan,false
Mike Taylor,/players/t/taylomi01.html,2009,2009,Iowa State University,false
Tyshawn Taylor,/players/t/tayloty01.html,2013,2014,University of Kansas,false
Vince Taylor,/players/t/taylovi01.html,1983,1983,Duke University,false
Terry Teagle,/players/t/teaglte01.html,1983,1993,Baylor University,false
Jeff Teague,/players/t/teaguje01.html,2010,2018,Wake Forest University,true
Marquis Teague,/players/t/teaguma01.html,2013,2018,University of Kentucky,true
Mirza Teletovic,/players/t/teletmi01.html,2013,2018,,true
Sebastian Telfair,/players/t/telfase01.html,2005,2015,,false
Garrett Temple,/players/t/templga01.html,2010,2018,Louisiana State University,true
Milos Teodosic,/players/t/teodomi01.html,2018,2018,,true
Ira Terrell,/players/t/terreir01.html,1977,1979,Southern Methodist University,false
Carlos Terry,/players/t/terryca01.html,1981,1983,Winston-Salem State University,false
Chuck Terry,/players/t/terrych01.html,1973,1977,"California State University, Long Beach",false
Claude Terry,/players/t/terrycl01.html,1973,1978,Stanford University,false
Jason Terry,/players/t/terryja01.html,2000,2018,University of Arizona,true
Hasheem Thabeet,/players/t/thabeha01.html,2010,2014,University of Connecticut,false
Daniel Theis,/players/t/theisda01.html,2018,2018,,true
Reggie Theus,/players/t/theusre01.html,1979,1991,"University of Nevada, Las Vegas",false
Peter Thibeaux,/players/t/thibepe01.html,1985,1986,Saint Mary's College of California,false
David Thirdkill,/players/t/thirdda01.html,1983,1987,Bradley University,false
Adonis Thomas,/players/t/thomaad01.html,2014,2014,"University of North Carolina, University of Memphis",false
Billy Thomas,/players/t/thomabi01.html,2005,2008,University of Kansas,false
Carl Thomas,/players/t/thomaca01.html,1992,1998,Eastern Michigan University,false
Charles Thomas,/players/t/thomach01.html,1992,1992,Eastern Michigan University,false
Etan Thomas,/players/t/thomaet01.html,2002,2011,Syracuse University,false
Irving Thomas,/players/t/thomair01.html,1991,1991,"University of Kentucky, Florida State University",false
Isaiah Thomas,/players/t/thomais02.html,2012,2018,University of Washington,true
Isiah Thomas,/players/t/thomais01.html,1982,1994,Indiana University,false
Jamel Thomas,/players/t/thomaja01.html,2000,2001,Providence College,false
James Thomas,/players/t/thomaja02.html,2005,2006,University of Texas at Austin,false
Jim Thomas,/players/t/thomaji01.html,1984,1991,Indiana University,false
John Thomas,/players/t/thomajo02.html,1998,2006,University of Minnesota,false
Kenny Thomas,/players/t/thomake01.html,2000,2010,University of New Mexico,false
Kurt Thomas,/players/t/thomaku01.html,1996,2013,Texas Christian University,false
Lance Thomas,/players/t/thomala01.html,2012,2018,Duke University,true
Malcolm Thomas,/players/t/thomama01.html,2012,2015,"Pepperdine University, San Diego State University",false
Tim Thomas,/players/t/thomati01.html,1998,2010,Villanova University,false
Tyrus Thomas,/players/t/thomaty01.html,2007,2015,Louisiana State University,false
Trey Thompkins,/players/t/thomptr02.html,2012,2012,University of Georgia,false
Bernard Thompson,/players/t/thompbe01.html,1985,1989,"California State University, Fresno",false
Billy Thompson,/players/t/thompbi01.html,1987,1992,University of Louisville,false
Brooks Thompson,/players/t/thompbr01.html,1995,1998,"Texas A&M University, Oklahoma State University",false
Corny Thompson,/players/t/thompco01.html,1983,1983,University of Connecticut,false
David Thompson,/players/t/thompda01.html,1976,1984,North Carolina State University,false
Dijon Thompson,/players/t/thompdi01.html,2006,2007,"University of California, Los Angeles",false
Hollis Thompson,/players/t/thompho01.html,2014,2017,Georgetown University,true
Jason Thompson,/players/t/thompja02.html,2009,2016,Rider University,false
Kevin Thompson,/players/t/thompke01.html,1994,1994,North Carolina State University,false
Klay Thompson,/players/t/thompkl01.html,2012,2018,Washington State University,true
LaSalle Thompson,/players/t/thompla01.html,1983,1997,University of Texas at Austin,false
Mychal Thompson,/players/t/thompmy01.html,1979,1991,University of Minnesota,false
Mychel Thompson,/players/t/thompmy02.html,2012,2012,Pepperdine University,false
Paul Thompson,/players/t/thomppa01.html,1984,1986,Tulane University,false
Stephen Thompson,/players/t/thompst01.html,1992,1992,Syracuse University,false
Tristan Thompson,/players/t/thomptr01.html,2012,2018,University of Texas at Austin,true
Al Thornton,/players/t/thornal01.html,2008,2011,Florida State University,false
Bob Thornton,/players/t/thornbo01.html,1986,1996,"University of California, Irvine",false
Marcus Thornton,/players/t/thornma01.html,2010,2017,Louisiana State University,true
Sindarius Thornwell,/players/t/thornsi01.html,2018,2018,University of South Carolina,true
Otis Thorpe,/players/t/thorpot01.html,1985,2001,Providence College,false
Sedale Threatt,/players/t/threase01.html,1984,1997,West Virginia University Institute of Technology,false
Nate Thurmond,/players/t/thurmna01.html,1964,1977,Bowling Green State University,false
Darren Tillis,/players/t/tillida01.html,1983,1984,Cleveland State University,false
Jamaal Tinsley,/players/t/tinslja01.html,2002,2014,Iowa State University,false
Wayman Tisdale,/players/t/tisdawa01.html,1986,1997,University of Oklahoma,false
Mike Tobey,/players/t/tobeymi01.html,2017,2017,University of Virginia,true
Ray Tolbert,/players/t/tolbera01.html,1982,1989,Indiana University,false
Tom Tolbert,/players/t/tolbeto01.html,1989,1995,"University of California, Irvine, University of Arizona",false
Anthony Tolliver,/players/t/tollian01.html,2009,2018,Creighton University,true
Dean Tolson,/players/t/tolsode01.html,1975,1978,University of Arkansas,false
Rudy Tomjanovich,/players/t/tomjaru01.html,1971,1981,University of Michigan,false
Andrew Toney,/players/t/toneyan01.html,1981,1988,University of Louisiana at Lafayette,false
Sedric Toney,/players/t/toneyse01.html,1986,1994,University of Dayton,false
Andy Toolson,/players/t/toolsan01.html,1991,1996,Brigham Young University,false
Bernard Toone,/players/t/toonebe01.html,1980,1980,Marquette University,false
Oscar Torres,/players/t/torreos01.html,2002,2003,,false
Axel Toupane,/players/t/toupaax01.html,2016,2017,,true
Monte Towe,/players/t/towemo01.html,1976,1977,North Carolina State University,false
Keith Tower,/players/t/towerke01.html,1994,1997,University of Notre Dame,false
Linton Townes,/players/t/towneli01.html,1983,1985,James Madison University,false
Karl-Anthony Towns,/players/t/townska01.html,2016,2018,University of Kentucky,true
Raymond Townsend,/players/t/townsra01.html,1979,1982,"University of California, Los Angeles",false
George Trapp,/players/t/trappge01.html,1972,1977,"California State University, Long Beach",false
Robert Traylor,/players/t/traylro01.html,1999,2005,University of Michigan,false
Gary Trent,/players/t/trentga01.html,1996,2004,Ohio University,false
Jeff Trepagnier,/players/t/trepaje01.html,2002,2004,University of Southern California,false
Kelly Tripucka,/players/t/tripuke01.html,1982,1991,University of Notre Dame,false
Cezary Trybanski,/players/t/trybace01.html,2003,2004,,false
Jake Tsakalidis,/players/t/tsakaja01.html,2001,2007,,false
Nikoloz Tskitishvili,/players/t/tskitni01.html,2003,2006,,false
Alando Tucker,/players/t/tuckeal02.html,2008,2010,University of Wisconsin,false
Anthony Tucker,/players/t/tuckean01.html,1995,1995,"Georgetown University, Wake Forest University",false
P.J. Tucker,/players/t/tuckepj01.html,2007,2018,University of Texas at Austin,true
Trent Tucker,/players/t/tucketr01.html,1983,1993,University of Minnesota,false
Ronny Turiaf,/players/t/turiaro01.html,2006,2015,Gonzaga University,false
Mirsad Turkcan,/players/t/turkcmi01.html,2000,2000,,false
Hedo Turkoglu,/players/t/turkohe01.html,2001,2015,,false
Andre Turner,/players/t/turnean01.html,1987,1992,University of Memphis,false
Elston Turner,/players/t/turneel01.html,1982,1989,University of Mississippi,false
Evan Turner,/players/t/turneev01.html,2011,2018,Ohio State University,true
Henry Turner,/players/t/turnehe02.html,1990,1995,"California State University, Fullerton",false
Jeff Turner,/players/t/turneje01.html,1985,1996,Vanderbilt University,false
John Turner,/players/t/turnejo01.html,1992,1992,"Georgetown University, Phillips University",false
Myles Turner,/players/t/turnemy01.html,2016,2018,University of Texas at Austin,true
Wayne Turner,/players/t/turnewa01.html,2000,2000,University of Kentucky,false
Melvin Turpin,/players/t/turpime01.html,1985,1990,University of Kentucky,false
Dave Twardzik,/players/t/twardda01.html,1973,1980,Old Dominion University,false
B.J. Tyler,/players/t/tylerbj01.html,1995,1995,"DePaul University, University of Texas at Austin",false
Jeremy Tyler,/players/t/tylerje01.html,2012,2014,,false
Terry Tyler,/players/t/tylerte01.html,1979,1989,University of Detroit Mercy,false
