name,link,year_from,year_to,college,active
Chris Babb,/players/b/babbch01.html,2014,2014,Iowa State University,true
Luke Babbitt,/players/b/babbilu01.html,2011,2017,"University of Nevada, Reno",true
Milos Babic,/players/b/babicmi01.html,1991,1992,Tennessee Technological University,false
Dalibor Bagaric,/players/b/bagarda01.html,2001,2003,,false
John Bagley,/players/b/baglejo01.html,1983,1994,Boston College,false
Carl Bailey,/players/b/baileca01.html,1982,1982,Tuskegee University,false
Gus Bailey,/players/b/bailegu01.html,1975,1980,University of Texas at El Paso,false
James Bailey,/players/b/baileja01.html,1980,1988,Rutgers University,false
Thurl Bailey,/players/b/baileth01.html,1984,1999,North Carolina State University,false
Toby Bailey,/players/b/baileto01.html,1999,2000,"University of California, Los Angeles",false
Cameron Bairstow,/players/b/bairsca01.html,2015,2016,University of New Mexico,true
LaMark Baker,/players/b/bakerla01.html,1999,1999,Ohio State University,false
Maurice Baker,/players/b/bakerma01.html,2005,2005,Oklahoma State University,false
Ron Baker,/players/b/bakerro01.html,2017,2017,Wichita State University,true
Vin Baker,/players/b/bakervi01.html,1994,2006,University of Hartford,false
Wade Baldwin,/players/b/baldwwa01.html,2017,2017,Vanderbilt University,true
Renaldo Balkman,/players/b/balkmre01.html,2007,2012,University of South Carolina,true
Cedric Ball,/players/b/ballce01.html,1991,1991,University of North Carolina at Charlotte,false
Greg Ballard,/players/b/ballagr01.html,1978,1989,University of Oregon,false
Gene Banks,/players/b/banksge01.html,1982,1987,Duke University,false
Marcus Banks,/players/b/banksma01.html,2004,2011,"University of Nevada, Las Vegas",false
Ken Bannister,/players/b/bannike01.html,1985,1991,Saint Augustine's College,false
Mike Bantom,/players/b/bantomi01.html,1974,1982,Saint Joseph's University,false
Leandro Barbosa,/players/b/barbole01.html,2004,2017,,true
Steve Bardo,/players/b/bardost01.html,1992,1996,University of Illinois at Urbana-Champaign,false
J.J. Barea,/players/b/bareajo01.html,2007,2017,Northeastern University,true
Andrea Bargnani,/players/b/bargnan01.html,2007,2016,,true
Tom Barker,/players/b/barketo01.html,1977,1979,University of Hawaii,false
Charles Barkley,/players/b/barklch01.html,1985,2000,Auburn University,false
Erick Barkley,/players/b/barkler01.html,2001,2002,St. John's University,false
Harrison Barnes,/players/b/barneha02.html,2013,2017,University of North Carolina,true
Marvin Barnes,/players/b/barnema01.html,1975,1980,Providence College,false
Matt Barnes,/players/b/barnema02.html,2004,2017,"University of California, Los Angeles",true
Jim Barnett,/players/b/barneji02.html,1967,1977,University of Oregon,false
Norton Barnhill,/players/b/barnhno01.html,1977,1977,Washington State University,false
Mike Barr,/players/b/barrmi01.html,1973,1977,Duquesne University,false
Andre Barrett,/players/b/barrean01.html,2005,2008,Seton Hall University,false
Earl Barron,/players/b/barroea01.html,2006,2015,University of Memphis,true
Dana Barros,/players/b/barroda01.html,1990,2004,Boston College,false
Brent Barry,/players/b/barrybr01.html,1996,2009,Oregon State University,false
Drew Barry,/players/b/barrydr01.html,1998,2000,Georgia Institute of Technology,false
Jon Barry,/players/b/barryjo01.html,1993,2006,Georgia Institute of Technology,false
Rick Barry,/players/b/barryri01.html,1966,1980,University of Miami,false
Will Barton,/players/b/bartowi01.html,2013,2017,University of Memphis,true
Eddie Basden,/players/b/basdeed01.html,2006,2006,University of North Carolina at Charlotte,false
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,true
Tim Bassett,/players/b/basseti01.html,1974,1980,University of Georgia,false
Maceo Baston,/players/b/bastoma01.html,2003,2009,University of Michigan,false
Mengke Bateer,/players/b/bateeme01.html,2002,2004,,false
Billy Ray Bates,/players/b/batesbi01.html,1980,1983,Kentucky State University,false
Esteban Batista,/players/b/batises01.html,2006,2007,,false
Mike Batiste,/players/b/batismi01.html,2003,2003,Arizona State University,false
Tony Battie,/players/b/battito01.html,1998,2012,Texas Tech University,false
Shane Battier,/players/b/battish01.html,2002,2014,Duke University,false
John Battle,/players/b/battljo01.html,1986,1995,Rutgers University,false
Kenny Battle,/players/b/battlke01.html,1990,1993,University of Illinois at Urbana-Champaign,false
Dave Batton,/players/b/battoda01.html,1983,1984,University of Notre Dame,false
Nicolas Batum,/players/b/batumni01.html,2009,2017,,true
Lonny Baxter,/players/b/baxtelo01.html,2003,2006,University of Maryland,false
Jerryd Bayless,/players/b/bayleje01.html,2009,2017,University of Arizona,true
Aron Baynes,/players/b/baynear01.html,2013,2017,Washington State University,true
Sergei Bazarevich,/players/b/bazarse01.html,1995,1995,,false
Kent Bazemore,/players/b/bazemke01.html,2013,2017,Old Dominion University,true
Bradley Beal,/players/b/bealbr01.html,2013,2017,University of Florida,true
Butch Beard,/players/b/beardbu01.html,1970,1979,University of Louisville,false
Jerome Beasley,/players/b/beaslje01.html,2004,2004,University of North Dakota,false
Malik Beasley,/players/b/beaslma01.html,2017,2017,Florida State University,true
