name,link,year_from,year_to,college,active
Marc Iavaroni,/players/i/iavarma01.html,1983,1989,Virginia,false
Serge Ibaka,/players/i/ibakase01.html,2010,2019,,true
Andre Iguodala,/players/i/iguodan01.html,2005,2019,Arizona,true
Zydrunas Ilgauskas,/players/i/ilgauzy01.html,1998,2011,,false
Mile Ilić,/players/i/ilicmi01.html,2007,2007,,false
Didier Ilunga-Mbenga,/players/m/mbengdj01.html,2005,2011,,false
Ersan İlyasova,/players/i/ilyaser01.html,2007,2019,,true
Joe Ingles,/players/i/inglejo01.html,2015,2019,,true
Damien Inglis,/players/i/inglida01.html,2016,2016,,false
Andre Ingram,/players/i/ingraan01.html,2018,2019,American University,true
Brandon Ingram,/players/i/ingrabr01.html,2017,2019,Duke,true
Byron Irvin,/players/i/irvinby01.html,1990,1993,"Arkansas, Missouri",false
Kyrie Irving,/players/i/irvinky01.html,2012,2019,Duke,true
Jonathan Isaac,/players/i/isaacjo01.html,2018,2019,Florida State,true
Dan Issel,/players/i/isselda01.html,1971,1985,Kentucky,false
Mike Iuzzolino,/players/i/iuzzomi01.html,1992,1993,"Penn State, Saint Francis University",false
Allen Iverson,/players/i/iversal01.html,1997,2010,Georgetown,false
Royal Ivey,/players/i/iveyro01.html,2005,2014,Texas,false
Wesley Iwundu,/players/i/iwundwe01.html,2018,2019,Kansas State,true
